eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200802160006,2008,2,16,,0,,201,Taiwan,4,"East Asia",Taipei,Taipei,25.091075,121.559834,1,0,,"02/16/2008:  A former Taiwanese lawmaker, Lee Sen-zong, was abducted by two unknown assailants, forced into their vehicle, then shot as he escaped from their vehicle as the perpetrators pulled over to avoid police suspicion.  Police have questioned two suspects in this abduction attempt, who maintain that they did not specifically choose Mr. Sen-zong for political reasons, but randomly because he looked wealthy.  Mr. Sen-zong survived the attack.",1,1,1,0,,,0,0,0,6,"Hostage Taking (Kidnapping)",2,"Armed Assault",,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Taiwanese Legislature","Lee Sen-zong, a former Taiwanese lawmaker",201,Taiwan,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,2,0,0,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,,,,"“Former Lawmaker Shot by Abductors," Taiwan News"," February 16"," 2008.""
200803050001,2008,3,5,,0,,44,China,4,"East Asia",Shaanxi,Xian,34.264987,108.944269,1,0,,"03/05/2008:  Ten travel agents, including an Australian national, were taken hostage as a would be suicide bomber hijacked a bus in Xian, China.  The man identified as Xia Tao, released most of the hostages soon after boarding the bus but the tour guide and one of the hostages remained as hostages.  Shortly after, a Chinese sniper shot dead the captor. His motive wasn't clear.",1,1,1,1,2,"Other Crime Type",0,1,1,4,Hijacking,,,,,18,Tourists,97,Tourist,Tourism,"Travel Agents",14,Australia,14,"Private Citizens & Property",71,"Race/Ethnicity Identified",Civilians,"Indiscriminate Chinese civilians",44,China,,,,,,,,,Unknown,,,,,,Unclear.,0,,,1,1,0,1,9,Other,,,,,,,-9,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,,,2,,"James Madden, "Aussie hostage sees hijacker shot dead"," The Australian (Australia)"," March 7"
200804050001,2008,4,5,,0,,44,China,4,"East Asia",Tibet,Gartok,31.719386,80.287588,1,0,"The bombing attack took place n an un-named village near the city of Qamdo, Tibet (Xizang) province, China.","04/05/2008: On Saturday, an IED composed of home-made explosives detonated in an un-named village near the city of Qamdo, Tibet (Xizang) province, China. The blast, whose target was not disclosed, caused property damage but resulted in no casualties. Sixteen monks, who all claimed responsibility for this and two other bombings, were arrested by police on 05/12/2008 and 05/13/2008 in connection with the bombing attacks.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,20,Unknown,,,,"The specific target was unknown.",44,China,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown or was not reported.",0,,,0,16,16,1,8,"Personal claim",,,,,,,0,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"A homemade bomb was used in the attack.",,,"Keith Bradsher, "Police in Tibet arrest 16 monks in 3 bombings"," International Herald Tribune"," June 5"
200804080002,2008,4,8,,0,,44,China,4,"East Asia",Tibet,Gartok,31.719386,80.287588,1,0,"The bombing attack took place n an un-named village near the city of Qamdo, Tibet (Xizang) province, China.","04/08/2008: On Tuesday, an IED composed of home-made explosives detonated in an un-named village near the city of Qamdo, Tibet (Xizang) province, China. The blast, whose target was not disclosed, caused property damage but resulted in no casualties. Sixteen monks, who all claimed responsibility for this and two other bombings, were arrested by police on 05/12/2008 and 05/13/2008 in connection with the bombing attacks.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,20,Unknown,,,,"The specific target was unknown.",44,China,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown or was not reported.",0,,,0,16,16,1,8,"Personal claim",,,,,,,0,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"A homemade bomb was used in the attack.",,,"Keith Bradsher, "Police in Tibet arrest 16 monks in 3 bombings"," International Herald Tribune"," June 5"
200805050049,2008,5,5,,0,,44,China,4,"East Asia",Shanghai,Shanghai,31.231763,121.484443,1,0,"The attack took place in the Yangpu district of Shanghai, China.","05/05/2008: On Monday at 0900, in Yangpu district of Shanghai, China, an assailant set fire to a passenger bus, killing three civilians, injuring 12 others, and damaging the bus. The East Turkistan Islamic Movement claimed responsibility.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,19,Transportation,99,"Bus (excluding tourists)",,"A passenger bus was targeted in the attack.",44,China,,,,,,,,,,,,,,,,,"Eastern Turkistan Islamic Movement (ETIM)",,,,,,"The specific motive for the attack is unknown.",1,,,0,-99,0,1,10,Unknown,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,"An unknown incendiary device was used in the attack.",,,"Agence France Presse, "Three Dead in Shanghai Bus Blast: Police"," LexisNexis Academic"," Agence France Presse"
200806110031,2008,6,11,,0,,44,China,4,"East Asia",Zhejiang,Yiwu,29.306841,120.075058,1,0,"The attack took place in a public square in Yiwu.","06/11/2008: On Wednesday around 2045, an explosion of a man-made bomb occurred at a public square, killing one and injuring 35 in Yiwu, Zhejiang, China. The public square was a well known trading hub and gathering place for migrant workers in Yiwu city. No group claimed responsibility.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",74,Marketplace/Plaza/Square,,"The target was civilians at  a public square.",44,China,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown.",0,,,0,-99,0,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"An improvised explosive device was used in the attack.",,"The "Doubt Terrorism Proper: Purely Criminal Act"" was included as the available sources stated that police believe that the bombing was deliberate"," but not a terror attack as the bombing coincided with counterterrorism drills occurring to prepare for the Olympics."","Daily Times, "Blast Kills One"," Injures 35 in China: Police"
200807140002,2008,7,14,,0,,101,Japan,4,"East Asia",Okinawa,Urasoe,26.245816,127.721799,1,0,"The attack took place at the US Consulate general compound.","07/14/2008: On Monday early in the morning, a Molotov cocktail was tossed into the garden of the US Consulate General compound in Urasoe, Okinawa, Japan.  There were no injuries or damage to the building, according to police.  The explosive hit the concrete of the garden behind the building and burned 30 square centimeters of the nearby lawn at around 1:15 a.m., though the fire soon burned out.  A small black motorbike was seen at the time the Molotov cocktail was thrown, though there were no claims of reponsibility.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","U.S. Consulate","The U.S. Consulate General Compound",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown.",0,,,0,1,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,"A Molotov cocktail was used in the attack.",,,"Now Public, "Attack on American Consulate in Japanese Okinawa"," Now Public"," http://www.nowpublic.com/world/attack-american-consulate-japanese-okinawa.""
200807210003,2008,7,21,,0,,44,China,4,"East Asia",Yunnan,Minshan,25.046078,102.653562,1,0,"The bombing attack took place aboard a Chinese bus at the Minshan bus stop in Kunming, Yunnan province, China.","07/21/2008: On Monday morning at 08:10, a bomb equipped with ammonium nitrate and a time-delay detonator exploded aboard a Chinese bus at the Minshan bus stop in Kunming, Yunnan province, China. This was the second of two bomb blasts which took place within 60 minutes on board Chinese buses in Kunming and killed a total of three civilians and wounded 14. Some residents received phone text messages in the early hours of Monday, warning Kunming residents to avoid buses hours before the bomb explosions took place. The Kunming blasts came less than three weeks prior to the Beijing Olympics and two days after Yunnan police opened fire and killed two rubber farmers in the Menglian province during a clash that also saw 41 police officers injured. On 08/04/2008, the Turkistan Islamic Party (TIP) released a video claiming responsibility for the double bomb blasts, although Chinese authorities rejected the claim.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,19,Transportation,99,"Bus (excluding tourists)",,"Civilians aboard a Chinese passenger bus",44,China,,,,,,,,,,,,,,,,,"Turkestan Islamic Party",,,,,,"The Kunming blasts came less than three weeks prior to the Beijing Olympics and two days after Yunnan police opened fire and killed two rubber farmers in the Menglian province during a clash that also saw 41 police officers injured.",0,,,0,-99,0,1,9,Other,,,,,,,0,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A bus bomb equipped with ammonium nitrate and a time-delay detonator was used in the bombing attack.",,"This was one of two related attacks (cf. 200807210004). The available sources listed the fatalities for these attacks cumulatively as 3 and the injuries for these attacks cumulatively as 14, so these figures have been distributed evenly for these cases in order to preserve statistical accuracy in the database.","MSNBC News, "Bus Blasts Kill 3"," Injure 14 in Southwest China"," July 20"
200807210004,2008,7,21,,0,,44,China,4,"East Asia",Yunnan,Kunming,25.037721,102.722202,1,0,"The bombing attack took place aboard a Chinese bus at the Panjiawan bus stop in Kunming, Yunnan province, China.","07/21/2008: On Monday morning at 07:10, a bomb equipped with ammonium nitrate and a time-delay detonator exploded aboard a Chinese bus at the Panjiawan bus stop in Kunming, Yunnan province, China. This was the first of two bomb blasts which took place within 60 minutes on board Chinese buses in Kunming and killed a total of three civilians and wounded 14. Some residents received phone text messages in the early hours of Monday, warning Kunming residents to avoid buses hours before the bomb explosions took place. The Kunming blasts came less than three weeks prior to the Beijing Olympics and two days after Yunnan police opened fire and killed two rubber farmers in the Menglian province during a clash that also saw 41 police officers injured. On 08/04/2008, the Turkistan Islamic Party (TIP) released a video claiming responsibility for the double bomb blasts, although Chinese authorities rejected the claim.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,19,Transportation,99,"Bus (excluding tourists)",,"Civilians aboard a Chinese passenger bus",44,China,,,,,,,,,,,,,,,,,"Turkestan Islamic Party",,,,,,"The Kunming blasts came less than three weeks prior to the Beijing Olympics and two days after Yunnan police opened fire and killed two rubber farmers in the Menglian province during a clash that also saw 41 police officers injured.",0,,,0,-99,0,1,7,"Posted to website, blog, etc.",,,,,,,0,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A bus bomb equipped with ammonium nitrate and a time-delay detonator was used in the bombing attack.",,"This was one of two related attacks (cf. 200807210003). The available sources listed the fatalities for these attacks cumulatively as 3 and the injuries for these attacks cumulatively as 14, so these figures have been distributed evenly for these cases in order to preserve statistical accuracy in the database.","MSNBC News, "Bus Blasts Kill 3"," Injure 14 in Southwest China"," July 20"
200808040001,2008,8,4,,0,,44,China,4,"East Asia",Beijing,Qinhuangdao,39.935377,119.600492,1,0,"The incident occured at the Qinhuangdao Stadium.","08/04/2008: On Monday, at an unspecified time, in Beijing, China, a suspected improvised explosive device was reported to have been found in the Qinhuangdao Stadium where the Olympic football matches were due to be held. The centre had reportedly already been swept but the device was found later under a seat. There were no reported casualties. There were no claims of responsibility.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,2,"Government (General)",21,"Government Building/Facility/Office","Qinhuangdao Stadium","The target was the Qinhuangdao Stadium.",44,China,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown.",0,,,0,-99,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"The were no details given as to the exact specifications of the bomb.",,,"Triton Reports, "A Suspected IED Found in the Qinhuangdao Stadium"," Triton"," December 2nd"
200808040004,2008,8,4,,0,,44,China,4,"East Asia","Xinjiang Uyghur",Kashgar,39.4704,75.989755,1,0,"Near the entrance to the Yijin Hotel.","08/04/2008: On Monday, in Kashgar, Xinjiang, China, two assailants drove a truck into a group of policemen jogging near the barracks. When the truck crashed, the assailants attacked the police with explosives described inconsistently as grenades or homemade bombs. The assailants were identified as taxi driver Kurbanjan Hemit, 28, and vegetable vendor Abdurahman Azat, 33. The Eastern Turkistan Islamic Movement claimed responsibility for the attack. Sixteen police officers were killed and 16 others were injured. One of the assailants was also injured.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Border Police","Police officers",44,China,,,,,,,,,,,,,,,,,"Eastern Turkistan Islamic Movement (ETIM)",,,,,,"The specific motive for the attack is unknown.",0,,,0,2,0,1,10,Unknown,,,,,,,0,6,Explosives,7,Grenade,9,Melee,23,"Knife or Other Sharp Object",10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,"The assailants used a truck as a contact weapon, as well as grenades. Authorities recovered nine bombs, a homemade gun, two long knives, and two daggers at the scene.",,,"The Guardian, "Militants Planned 'Year of Mourning' in China"," Says Authorities"," The Guardian"
200808090002,2008,8,9,,0,,44,China,4,"East Asia",Beijing,Beijing,39.905556,116.395833,1,0,"The incident occured at an unspecified Beijing landmark.","08/09/2008: On Saturday, at an unknown time, in Beijing, China, a knife-wielding assailant attacked an American family killing one person and wounding another. There were no claims of responsibility made.",0,1,1,1,2,"Other Crime Type",0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",71,"Race/Ethnicity Identified",,"The target were indiscriminate Americans attending the Olympics.",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown.",0,,,0,1,-99,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,"The extremist used a knife.",,,"Cable News Network, "American Killed at Games Was Coach's Father-in-law"," CNN"," August 9th"
