eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200804210001,2008,4,21,,0,,14,Australia,12,"Australasia & Oceania",Queensland,"Vale View",-27.661735,151.897583,1,0,"The attempted bombing took place in Federation Park on the Drayton Connection Road, near Vale View south of Toowoomba, Queensland, Australia.","04/21/2008: On Monday, a 30 mm pipe bomb rigged with external batteries and a mobile phone was detonated by the police bomb squad unit after it was found by council workers in Federation Park on the Drayton Connection Road, near Vale View south of Toowoomba, Queensland, Australia. No claim of responsibility was made for the attempted bombing, however on 04/22/2008 on Tuesday, executed a search warrant at a home in Kent Street at Oakey and allegedly found evidence of a home-made explosive device. A 21-year-old man was arrested and charged with one count of attempting to damage property by explosives.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",79,"Public Area (garden, parking lot, garage, beach, public building, camp)",,"Federation Park",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown or was not reported.",0,,,0,1,1,0,,,,,,,,,,6,Explosives,12,"Remote Trigger",,,,,,,,,,,,,"A mobile phone-triggered, battery-powered, 30 mm pipe was used in the attack.",,,"News.com.au, "Police Destroy Pipe Bomb Found at Toowoomba Park"," http://news.com.au (accessed April 22"," 2008).""
200812080008,2008,12,8,,0,,14,Australia,12,"Australasia & Oceania","Western Australia",Joondalup,-31.743357,115.764172,1,0,"Joondalup Police Station","12/08/2008: On Monday, a Holden Rodeo ute vehicle carrying a 220-liter fuel tank was backed into the Joondalup police station and set aflame. The attack damaged two offices, one of which was the inspector's District Office. No casualties were reported.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,3,Police,22,"Police Building (headquarters, station, school)",,"Joondalup Police station",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown.",0,,,0,1,0,0,,,,,,,,,,8,Incendiary,20,"Gasoline or Alcohol",,,,,,,,,,,,,"A fuel tank was set ablaze in the attack.",,,"ABC, "Police Seeking Man Over Firebombings"," http://www.abc.net.au/news/stories/2008/12/10/2442883.htm"" (December 10"," 2008).""
200812100007,2008,12,10,,0,,14,Australia,12,"Australasia & Oceania","Western Australia",Joondalup,-31.743357,115.764172,1,0,"Warwick district, Joondalup Warwick Police station","12/10/2008: On Wednesday morning, at 0235, two private vehicles belonging to Warwick police officers were firebombed in Joondalup, Western Australia, Oceania, Australia.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,3,Police,25,"Police Security Forces/Officers",,"The target were private vehicles of police officers in Warwick",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown.",0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"A firebomb was used in the attack",,,"Watoday, Thomson, Chris, and Chalpat Sonti, "Man Charged Over Joondalup Police Station Bombing"," http://www.watoday.com.au/wa-news/man-charged-over-joondalup-police-station-bombing-20081210-6v6v.html?page=-1 (December 10"," 2008).""
200910080019,2009,10,8,,0,,14,Australia,12,"Australasia & Oceania","New South Wales","Condell Park",-33.922832,151.011897,1,0,"The explosive was placed on the hood of a car on Market Street at Condell Park, Sydney, New South Wales, Australia.","10/08/2009: On Thursday night at 0100, in Market Street in Condell park, Sydney, New South Wales, Australia, an improvised explosive device placed on the hood of a car detonated, smashing the windows of two townhouses and destroying the vehicle. Investigator Mark Smith says it is not clear if the device was intended for the vehicle or the townhouses 10-15 meters away. No group claimed responsibility.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",73,Vehicles/Transportation,,"A civilian vehicle was targeted in the attack.",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown.",0,,,0,-99,0,0,,,,,,,,,,6,Explosives,29,"Sticky Bomb",,,,,,,,,,,,,"An improvised explosive device placed  on the hood of a car was used in the attack.",,,"Abc. Net,"Car"," Houses Damaged by Homemade Bomb"," http://www.abc.net.au/news/stories/2009/10/08/2707922.htm?section=australia(October 8"
201002040023,2010,2,4,,0,,14,Australia,12,"Australasia & Oceania","Western Australia",Perth,-31.952854,115.857339,1,0,"The attack took place at a mosque in Queens Park, Perth.","02/04/2010: On Thursday night, in Queens Park, Perth, Western Australia, Australia, armed assailants fired upon a mosque, damaging the mosque but causing no casualties. No group claimed responsibility, although authorities believed Combat 18 was responsible.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,15,"Religious Figures/Institutions",86,"Place of Worship",,"The target was a mosque.",14,Australia,,,,,,,,,,,,,,,,,"Combat 18",,,,,,"The specific motive for the attack is unknown.",1,,,0,-99,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,"Unknown firearms were used in the attack.",,,"National Counterterrorism Center, "One Mosque Damaged in Armed Attack by Suspected Combat 18 in Perth"," Western Australia"," Australia"
201309020036,2013,9,2,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Melbourne,-37.808896,144.950421,1,0,"The incident occurred in the West Melbourne area of the city.","09/02/2013: Assailants set fire to Gran Turismo Autos, a luxury car showroom, in West Melbourne area, Melbourne city, Victoria state, Australia. The fire damaged several vehicles, but did not cause any casualties. The Felicity Ann Ryder Cell of the Informal Anarchist Federation claimed responsibility for the attack in a post online; however, police denied that the group was involved in the incident.",1,1,1,1,4,"Lack of Intentionality",0,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,7,Retail/Grocery/Bakery,"Gran Turismo Autos","Car Dealership",14,Australia,,,,,,,,,,,,,,,,,"Informal Anarchist Federation","Felicity Ann Ryder Cell",,,,,,0,,,0,-99,0,1,7,"Posted to website, blog, etc.",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,"There is doubt that this incident meets terrorism-related criteria. Authorities suspected that the fire may have been accidentally started by a lit cigarette.",""Anarchists claim responsibility for fire at luxury West Melbourne car dealership"," but police have doubts"," Herald Sun (Australia)"
201402240121,2014,2,24,,0,,14,Australia,12,"Australasia & Oceania",Queensland,Logan,-27.639793,153.108516,1,0,,"02/24/2014: Assailants threw three homemade incendiary devices at the Logan Police District Headquarters in Logan City, southeast Queensland state, Australia. There were no casualties in the incident; however, one police vehicle suffered fire damage. No group claimed responsibility for the incident; however, sources attributed the attack to anarchists.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,3,Police,22,"Police Building (headquarters, station, school)","Australian Federal Police (AFP)","Logan District Headquarters",14,Australia,,,,,,,,,,,,,,,,,Anarchists,,,,,,"The specific motive is unknown; however, sources noted that the attack comes after an incident of police brutality which left an indigenous woman partly blind.",0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"Three Molotov cocktails were used in the attack.",,,""The Logan Police District Headquarters at Logan Central has been attacked with three homemade firebombs hurled"," The Courier Mail (Australia)"," February 24"
201405180095,2014,5,18,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Sydney,-33.888408,151.237218,1,0,"The incident occurred in the Woollahra neighborhood of the city.","05/18/2014: Assailants set fire to two vehicles on Queen street in Woollahra neighborhood, Sydney city, New South Wales state, Australia. There were no reported casualties in the attack. This was one of two coordinated attacks carried out by the Informal Anarchist Federation in Woollahra neighborhood on May 18, 2014. The Informal Anarchist Federation claimed responsibility for the incident, stating that the attack was carried out in retaliation to injustice.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,14,"Private Citizens & Property",73,Vehicles/Transportation,"Not Applicable","Luxury Vehicles",14,Australia,,,,,,,,,,,,,,,,,"Informal Anarchist Federation",,,,,,"The Informal Anarchist Federation claimed responsibility for the incident and stated that the attack was carried out in retaliation to injustice.",0,,,0,-99,0,1,7,"Posted to website, blog, etc.",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Luxury cars destroyed in random attacks in Woollahra"," The Daily Telegraph (Australia)"," May 19"
201405180096,2014,5,18,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Sydney,-33.888408,151.237218,1,0,"The incident occurred in the Woolahra neighborhood of the city.","05/18/2014: Assailants set fire to a luxury vehicle on Moncur street in Woolahra neighborhood, Sydney city, New South Wales state, Australia. There were no reported casualties in the attack. This was one of two coordinated attacks carried out by the same group in Woolahra neighborhood on May 18, 2014. The Informal Anarchist Federation claimed responsibility for the incident.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,14,"Private Citizens & Property",73,Vehicles/Transportation,"Not Applicable","Luxury Vehicle",14,Australia,,,,,,,,,,,,,,,,,"Informal Anarchist Federation",,,,,,,0,,,0,-99,0,1,7,"Posted to website, blog, etc.",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Luxury cars destroyed in random attacks in Woollahra"," The Daily Telegraph (Australia)"," May 19"
201408120098,2014,8,12,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Beechworth,-36.35772,146.696395,1,0,,"08/12/2014: Assailants set a private vehicle on fire that belonged to an Australian Federal Police (AFP) officer outside the police station in Beechworth town, Victoria state, Australia. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,3,Police,23,"Police Patrol (including vehicles and convoys)","Australian Federal Police (AFP)",Car,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,2,0,0,,,,,,,,,,8,Incendiary,20,"Gasoline or Alcohol",,,,,,,,,,,,,"Gasoline was used in the attack.",,,""The ugly secret of a town's fire"," Southern Highland News"," October 25"
201409230034,2014,9,23,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Melbourne,-37.814107,144.96328,1,0,,"09/23/2014: An assailant stabbed two police officers in Melbourne city, Victoria state, Australia. Authorities shot and killed the assailant and the two police officers were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to an individual, identified as Abdul Numan Haider.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Australian Federal Police (AFP)",Officers,14,Australia,,,,,,,,,,,,,,,,,"Jihadi-inspired extremists",,,,,,"The specific motive is unknown; however, sources posited that prior to the attack the assailant, Abdul Numan Haider, had posted a message on Facebook, which criticized the Australian Federal Police (AFP) and alleged that they were at war with Islam.",0,,,1,1,0,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,,,,""ISIS Lieutenant Emerges From Australian Red-Light District"," The New York Times"," September 26"
201411030015,2014,11,3,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Bankstown,-33.907092,151.057308,1,0,"The incident occurred in the Greenacre neighborhood","11/03/2014: Assailants opened fire on Rasoul Al-Musawi outside of an Islamic prayer center in Bankstown area, New South Wales state, Australia. Musawi, a Shia religious leader, was wounded in the attack. No group claimed responsibility for the incident; however, people chanting pro-Islamic State of Iraq and the Levant (ISIL) statements drove by the center just before the shooting.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,15,"Religious Figures/Institutions",85,"Religious Figure","Husainiyah Nabi Akram","Shiite Cleric: Rasoul al-Mousawi",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,1,-99,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,"Pellets were used in the attack.",,,""Religious leader shot outside Islamic centre in Greenacre following threats"," Melbourne Age"," November 3"
201412020073,2014,12,2,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Oberon,-33.704174,149.857408,1,0,,"12/02/2014: Assailants set fire to the Oberon NSW Slaughterhouse in Oberon town, New South Wales state, Australia. There were no reported casualties in the attack; however, the building was damaged in the attack. The Animal Liberation Front (ALF) claimed responsibility for the incident and stated that the attack was carried out in retaliation for profiting from animal abuse.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,9,Farm/Ranch,"Oberon NSW Slaughterhouse",Slaughterhouse,14,Australia,,,,,,,,,,,,,,,,,"Animal Liberation Front (ALF)",,,,,,"The Animal Liberation Front (ALF) claimed responsibility for the incident and stated that the attack was carried out in retaliation to the profiting from animal abuse.",0,,,0,-99,0,1,7,"Posted to website, blog, etc.",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Police investigate Oberon Abattoir fire"," Western Advocate"," December 3"
