eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200802060003,2008,2,6,,0,,75,Germany,8,"Western Europe",Bavaria,Munich,48.139126,11.580186,1,0,,"02/06/2008:  A parcel bomb exploded when opened by a car dealer in Munich, Germany, resulting in serious burns to the man’s face and hands. No group has claimed responsibility for the attack.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,4,"Multinational Corporation","Munich car dealership","Car dealership employee",75,Germany,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,9,"Letter Bomb",,,,,,,,,,,,,,,,"“Germany man injured in parcel bomb explosion in Munich,” BBC Monitoring International Reports, February 6, 2008.",,
200802130002,2008,2,13,,0,,98,Italy,8,"Western Europe",Calabria,"Reggio Calabria",38.114633,15.650234,1,0,,"02/13/2008:  A man took hostage 11 children and a teacher at a daycare center in Reggio Calabria, Italy. Nobody was hurt, and the man was convinced to surrender himself to police several hours after the hostage-taking. The suspect was armed with box cutters.  No group has taken responsibility for the attack, and the motive remains unclear.",0,1,1,1,2,"Other Crime Type",0,1,0,6,"Hostage Taking (Kidnapping)",,,,,8,"Educational Institution",49,"School/University/Educational Building","Italian citizens","Children and a teacher at a daycare center",98,Italy,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,1,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,"The man was armed with a box-cutter",12,,"“Daycare hostage situation ends peacefully,” UPI, February 14, 2008.",,
200802200001,2008,2,20,,0,,603,"United Kingdom",8,"Western Europe","Northern Ireland",Mallusk,54.678656,-6.000022,1,0,"Antrim (County)","02/20/2008:  At approximately 5:30 a.m., a suspicious package was discovered and had to be dismantled by the British Army bomb disposal unit in a major mail-sorting facility in Mallusk, Antrim County, Northern Ireland.  Although the facility had to be evacuated for six hours, no casualties or property damage resulted from this package, which was successfully dismantled.  Authorities believe this package was most likely sent by Irish Republican Army (IRA).",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,2,"Government (General)",21,"Government Building/Facility/Office","Northern Ireland Postal Service","Mallusk mail-sorting facility",233,"Northern Ireland",,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,0,0,,,,,,,,,,6,Explosives,9,"Letter Bomb",,,,,,,,,,,,,,,,"“British army dismantles parcel bomb in Northern Ireland's mail-sorting center,” Associated Press Worldstream, February 20, 2008.","Ian Graham, “PARCEL BOMB MADE SAFE AT SORTING OFFICE,” Press Association Newsfile, February 20, 2008.",
200802210008,2008,2,21,,0,,78,Greece,8,"Western Europe",Attica,Athens,37.99749,23.762728,1,0,,"02/21/2008:  An anarchist group named Conspiracy of Cells of Fire claimed responsibility for committing 13 separate arson attacks with homemade explosives (which contained small propane canisters) throughout Attica, Greece on Thursday between 2:00 a.m. and 2:10 a.m. In this incident, the offices of the Ethniki Asfalistiki insurance company (a subsidiary of the National Bank of Greece) in Kato Halandri were attacked.  It was unclear if there were any casualties.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,3,Bank/Commerce,Business,"The offices of the Ethniki Asfalistiki insurance company (a subsidiary of the National Bank of Greece)",78,Greece,,,,,,,,,,,,,,,,,"Conspiracy of Cells of Fire",,,,,,,0,,,0,,0,1,2,"Call (post-incident)",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"“Anarchists claim responsibility for arson,” UPI, February 22, 2008.","“Greece: Barrage of Arsons Against Banks, Cars in Athens,” Athens News Agency, February 21, 2008.",
200802210009,2008,2,21,,0,,78,Greece,8,"Western Europe",Attica,Athens,37.99749,23.762728,1,0,,"02/21/2008:  An anarchist group named Conspiracy of Cells of Fire claimed responsibility for committing 13 separate arson attacks with homemade explosives (which contained small propane canisters) throughout Attica, Greece on Thursday between 2:00 a.m. and 2:10 a.m.  In this incident, a branch of Proton Bank in downtown Athens was attacked.  It was unclear if there were any casualties.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,3,Bank/Commerce,Business,"A Proton Bank branch",78,Greece,,,,,,,,,,,,,,,,,"Conspiracy of Cells of Fire",,,,,,,0,,,0,,0,1,2,"Call (post-incident)",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"“Anarchists claim responsibility for arson,” UPI, February 22, 2008.","“Greece: Barrage of Arsons Against Banks, Cars in Athens,” Athens News Agency, February 21, 2008.",
200802210010,2008,2,21,,0,,78,Greece,8,"Western Europe",Attica,Athens,37.99749,23.762728,1,0,,"02/21/2008:  An anarchist group named Conspiracy of Cells of Fire claimed responsibility for committing 13 separate arson attacks with homemade explosives (which contained small propane canisters) throughout Attica, Greece on Thursday between 2:00 a.m. and 2:10 a.m. In this incident, a branch of Citibank in Petroupolis was attacked.  It was unclear if there were any casualties.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,3,Bank/Commerce,Business,"A Citibank branch",78,Greece,,,,,,,,,,,,,,,,,"Conspiracy of Cells of Fire",,,,,,,0,,,0,,0,1,2,"Call (post-incident)",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"“Anarchists claim responsibility for arson,” UPI, February 22, 2008.","“Greece: Barrage of Arsons Against Banks, Cars in Athens,” Athens News Agency, February 21, 2008.",
200802210011,2008,2,21,,0,,78,Greece,8,"Western Europe",Attica,Athens,37.99749,23.762728,1,0,,"02/21/2008:  An anarchist group named Conspiracy of Cells of Fire claimed responsibility for committing 13 separate arson attacks with homemade explosives (which contained small propane canisters) throughout Attica, Greece on Thursday between 2:00 a.m. and 2:10 a.m. In this incident, a Millennium Bank in Gerakas was attacked.  It was unclear if there were any casualties.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,3,Bank/Commerce,Business,"A  Millennium Bank branch",78,Greece,,,,,,,,,,,,,,,,,"Conspiracy of Cells of Fire",,,,,,,0,,,0,,0,1,2,"Call (post-incident)",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"“Anarchists claim responsibility for arson,” UPI, February 22, 2008.","“Greece: Barrage of Arsons Against Banks, Cars in Athens,” Athens News Agency, February 21, 2008.",
200802210012,2008,2,21,,0,,78,Greece,8,"Western Europe",Attica,Piraeus,37.942925,23.646845,1,0,,"02/21/2008:  An anarchist group named Conspiracy of Cells of Fire claimed responsibility for committing 13 separate arson attacks with homemade explosives (which contained small propane canisters) throughout Attica, Greece on Thursday between 2:00 a.m. and 2:10 a.m. In this incident, a Citibank in Piraeus was attacked.  It was unclear if there were any casualties.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,3,Bank/Commerce,Business,"A Citibank branch",78,Greece,,,,,,,,,,,,,,,,,"Conspiracy of Cells of Fire",,,,,,,0,,,0,,0,1,2,"Call (post-incident)",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"“Anarchists claim responsibility for arson,” UPI, February 22, 2008.","“Greece: Barrage of Arsons Against Banks, Cars in Athens,” Athens News Agency, February 21, 2008.",
200802210013,2008,2,21,,0,,78,Greece,8,"Western Europe",Attica,Piraeus,37.942925,23.646845,1,0,,"02/21/2008:  An anarchist group named Conspiracy of Cells of Fire claimed responsibility for committing 13 separate arson attacks with homemade explosives (which contained small propane canisters) throughout Attica, Greece on Thursday between 2:00 a.m. and 2:10 a.m.  In this incident, a Eurobank Open 24 in Piraeus was attacked.  It was unclear if there were any casualties.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,3,Bank/Commerce,Business,"A 24-hour Eurobank branch",78,Greece,,,,,,,,,,,,,,,,,"Conspiracy of Cells of Fire",,,,,,,0,,,0,,0,1,2,"Call (post-incident)",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"“Anarchists claim responsibility for arson,” UPI, February 22, 2008.","“Greece: Barrage of Arsons Against Banks, Cars in Athens,” Athens News Agency, February 21, 2008.",
200802210014,2008,2,21,,0,,78,Greece,8,"Western Europe",Attica,Athens,37.99749,23.762728,1,0,,"02/21/2008:  An anarchist group named Conspiracy of Cells of Fire claimed responsibility for committing 13 separate arson attacks with homemade explosives (which contained small propane canisters) throughout Attica, Greece on Thursday between 2:00 a.m. and 2:10 a.m. In this incident, a Eurobank in Kallithea was attacked.  It was unclear if there were any casualties.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,3,Bank/Commerce,Business,"A Eurobank branch",78,Greece,,,,,,,,,,,,,,,,,"Conspiracy of Cells of Fire",,,,,,,0,,,0,,0,1,2,"Call (post-incident)",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"“Anarchists claim responsibility for arson,” UPI, February 22, 2008.","“Greece: Barrage of Arsons Against Banks, Cars in Athens,” Athens News Agency, February 21, 2008.",
