eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801010006,2008,1,1,,0,,186,"Sri Lanka",6,"South Asia",Western,Colombo,6.941837,79.861687,1,0,,"01/01/2008:  Prominent Sri Lankan opposition Tamil parliamentarian Thiagarajah Maheswaran of the main opposition United National Party was shot dead at a Hindu temple. One of his bodyguards was also killed.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","United National Party","Thiagarajah Maheswaran",186,"Sri Lanka",,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,1,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"A suspected was wounded by a security guard.  The police investigation continues.","Reuters, “Sri Lankan parliamentarian shot dead at Hindu temple,” The Globe and Mail (Canada), January 2, 2008.","Bharatha Mallawarachi, “Sri Lanka opposition lawmaker dies after being shot near capital,” Associated Press, January 1, 2008.","Amal Jayasinghe, “Sri Lankan Tamil MP assassinated in temple,” Agence France Presse, January 1, 2008."
200801010025,2008,1,1,,0,,92,India,6,"South Asia","West Bengal","Burdwan district",23.232421,87.861479,3,0,,"01/01/2008:  In Burdwan a group of assailants, suspected of having connections with the Maoists, killed the 52-year-old Sisir Chatterjee, a CPI-M zonal committee member, in the Mangalkot area.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Communist Party of India-Marxist (CPI-M)","Sisir Chatterjee",92,India,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,,,"Police suspect Maoist guerrillas for the attack.","Indo-Asian News Service, “Maoists kill two CPI-M men in West Bengal,”  HT Syndication, January 2, 2008.","The Statesman (India), “Maoists mow down 2 CPM leaders,” January 3, 2008.",
200801020019,2008,1,2,,0,,92,India,6,"South Asia","Andhra Pradesh",Hyderabad,17.376812,78.487812,1,0,,"01/02/2008:  A crude bomb was found in Hyderabad’s NTR Garden near the state secretariat of Andhra Pradesh.  Police said the bomb was recovered and defused by the bomb disposal squad.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Government of Indian","State secretariat of Andhra Pradesh",92,India,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"A homemade bomb was used in the attack.",,,"Indo-Asian News Service, “Crude bomb found in Hyderabad park,” HT Syndication, January 2, 2008.",,
200801030002,2008,1,3,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/03/2008:  Three people were killed and 11 wounded when a bomb planted at the house of a local member of the Dawa party exploded at dawn in a Shiite-dominated area of southeastern Baghdad. The party member was not at home. The dead included a man, a 13-year-old boy and a woman who was in a house next door. The perpetrators were not known.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Dawa party","Member of Dawa party",95,Iraq,14,"Private Citizens & Property",,,,,95,Iraq,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,,"Hamza Hendawi, “Top Shiite politician delivers subtle, but scathing criticism of government,” Associated Press, January 3, 2008.","United Press International, “Iraqi violence kills 3, MP escapes harm,” January 3, 2008.",
200801040006,2008,1,4,,1,,147,Nigeria,11,"Sub-Saharan Africa",Rivers,Ogbogwu,5.248889,6.655556,1,0,,"01/04/2008:  The fifteen year old son of a politician in Nigeria was kidnapped from his home in River State.  The five abductors demanded an unspecified amount of money from the boy's family as ransom.  They also said that they were protesting the neglect of the Niger Delta people.",1,1,1,0,,,0,1,0,6,"Hostage Taking (Kidnapping)",,,,,2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Son of a high ranking nigerian politician",Child,147,Nigeria,,,,,,,,,,,,,,,,,Unknown,,,,,,"The militants claimed to be protesting the neglect of the Niger Delta people.",0,,,0,5,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,-99,,"Ufford Wilson, "15-year-old kidnapped in Nigeria"," Associated Press Worldstream"," January 5"
200801050016,2008,1,5,,0,,92,India,6,"South Asia",Orissa,"Sambalpur district",21.466872,83.981166,3,0,,"01/05/2008:  Twenty armed Maoists burned down a forest range office in Orissa, India.  They also destroyed seven jeeps, four motorcycles, and files in the offices.  They stole cash and belongings from the forester's home.  They beat up six forest guards.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,2,"Government (General)",21,"Government Building/Facility/Office","Forest Range",Office,92,India,,,,,,,,,,,,,,,,,"Communist Party of India - Maoist (CPI-Maoist)",,,,,,Unknown,1,,,0,20,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,13,Unknown,,,,,,,,,,,,,,""Maoists Torch Forest Range Office in Orissa"," Beat up Guards"," The Times of India"
200801060001,2008,1,6,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/06/2008:  A suicide bomber wearing an Iraqi Army uniform detonated his vest near a ceremony commemorating the Iraqi military's founding in Baghdad, Iraq.  Soldiers were restraining the bomber from entering a party when the vest detonated.  Those three soldiers, another guard, and a civilian were killed.  At least four more people were injured.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,2,"Government (General)",,,"Iraqi government",,95,Iraq,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Iraqi Armed Forces",Soldiers,95,Iraq,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",,Civilians,95,Iraq,Unknown,,,,,,Unknown,0,,,0,1,0,0,,,,,,,,,,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,,,,,"Jamie Gumbrecht and Hussein Khadim, "Suicide bombing hits Iraq military celebration"," Knight Ridder Washington Bureau"," January 6"
200801070007,2008,1,7,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/07/2008:  A bomb was planted in an Iraqi Ministry of Trade employee's car in Baghdad, Iraq.  The explosion injured the worker.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Iraqi Ministry of Trade",Worker,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,15,Vehicle,,,,,,,,,,,,,,,,"Laith Hammoudi, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 7"
200801080001,2008,1,8,,0,,186,"Sri Lanka",6,"South Asia",Western,Ja-Ela,7.079678,79.890976,1,0,,"01/08/2008:  A Sri Lankan official was killed by a roadside bomb in Ja-Ela, Sri Lanka.  One other person was killed in the attack and ten others were wounded.  Police suspected the Tamil Tigers.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Sri Lankan Government",Official,186,"Sri Lanka",,,,,,,,,,,,,,,,,"Liberation Tigers of Tamil Eelam (LTTE)",,,,,,"The Tamil Tigers are trying to establish their own Tamil homeland in Sri Lanka.  Police believed that this particular lawmaker may have been targeted because he had been given the task of overseeing the reconstruction of Sri Lanka's eastern province, which until that point had been under the control of the Tamil Tigers.",1,,,0,,0,0,,,,,,,,,,6,Explosives,8,Landmine,,,,,,,,,,,,,"A roadside Claymore mine was used in the attack.",,"The attack came minutes before the Prime Minister announced that parliament was extending emergency rule in the area.","Andrew Buncombe, "Rebels blamed after roadside bomb kills Sri Lankan minister"," Belfast Telegraph"," January 9"
200801080003,2008,1,8,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/08/2008:  Unidentified gunmen shot and killed an officer at the Iraqi Ministry of Interior at around 7 am in his car in the Zafrania neighborhood in east Baghdad, Iraq. His name was Mohammad Aziz al-Gatia.",1,1,1,0,,,0,1,0,1,Assassination,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Iraqi Ministry of Interior","Ministry Officer",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Hussein Kadhim, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 8"
