eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801040006,2008,1,4,,1,,147,Nigeria,11,"Sub-Saharan Africa",Rivers,Ogbogwu,5.248889,6.655556,1,0,,"01/04/2008:  The fifteen year old son of a politician in Nigeria was kidnapped from his home in River State.  The five abductors demanded an unspecified amount of money from the boy's family as ransom.  They also said that they were protesting the neglect of the Niger Delta people.",1,1,1,0,,,0,1,0,6,"Hostage Taking (Kidnapping)",,,,,2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Son of a high ranking nigerian politician",Child,147,Nigeria,,,,,,,,,,,,,,,,,Unknown,,,,,,"The militants claimed to be protesting the neglect of the Niger Delta people.",0,,,0,5,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,-99,,"Ufford Wilson, "15-year-old kidnapped in Nigeria"," Associated Press Worldstream"," January 5"
200801050002,2008,1,5,,0,,182,Somalia,11,"Sub-Saharan Africa",Banaadir,Mogadishu,2.059819,45.326115,1,0,,"01/05/2008:  Unidentified gunmen abducted two Libyan diplomats from a busy market in Mogadishu, Somalia.  The two men, Naji Gassouda and Fathi Boudiyan, were forced out of their car while shopping.  Then men were released within hours as soon as the kidnappers realized their identities, they thought that the victims were Yemeni merchants.  A ransom was not paid.",1,1,1,0,,,0,1,0,6,"Hostage Taking (Kidnapping)",,,,,7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","Libyan Diplomatic Mission to Somalia",Diplomats,113,Libya,,,,,,,,,,,,,,,,,Unknown,,,,,,"The attack was in connection with the Islamic insurgency in and around Mogadishu",0,,,0,,0,0,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,,2,,""Kidnappers release Libyan diplomats"," The Bismarck Tribune"," January 6"
200801050013,2008,1,5,,1,,153,Pakistan,6,"South Asia","Federally Administered Tribal Areas",Wana,32.306099,69.579956,1,1,"The militants were stopping traffic on a road heading out of Wana.","01/05/2008:  Suspected militants associated with Tehrik-i-Taliban Pakistan (TTP) abducted five Christians in the South Waziristan Agency of Pakistan.  The militants said the hostages would be freed after six militants in custody of law enforcement agencies were freed.",1,1,1,0,,,0,1,0,6,"Hostage Taking (Kidnapping)",,,,,14,"Private Citizens & Property",69,"Religion Identified",Christians,"Christians abducted in South Waziristan.",95,Iraq,,,,,,,,,,,,,,,,,"Tehrik-i-Taliban Pakistan (TTP)",,,,,,"The attack was an effort to free militants being held by law enforcement.",0,,,0,,0,1,10,Unknown,,,,,,,-9,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,5,"The hostages were released on January 7, 2008.",""Militants abduct five Christians in Pakistan"," Indo-Asian News Service"," January 5"
200801070009,2008,1,7,,1,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/07/2008:  Gunmen in five cars kidnapped at least eight tribal members at a tribal checkpoint in Baghdad, Iraq.",1,1,1,0,,,0,1,0,6,"Hostage Taking (Kidnapping)",,,,,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Tribal Checkpoint Workers",Tribesmen,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,-99,,"Laith Hammoudi, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 7"
200801080016,2008,1,8,,1,,153,Pakistan,6,"South Asia","Federally Administered Tribal Areas",Sarokey,32.346869,69.757253,2,0,"In the Area","01/08/2008:  Suspected militants kidnapped three soldiers from the Sarokey area of South Waziristan in Pakistan.  The masked men forced the soldiers, who were from Waziristan Scouts Force , out of their vehicle and took them to an undisclosed location later.",1,1,1,1,1,"Insurgency/Guerilla Action",0,1,0,6,"Hostage Taking (Kidnapping)",,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Pakistani Armed Forces",Soldiers,153,Pakistan,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,-99,,""Rocket attack kills Pakistani soldier in tribal region"," Xinhua General News Service"," January 8"
200801190007,2008,1,19,,1,1/19/2008,130,Mexico,1,"North America","Baja California",Tijuana,32.493683,-116.95295,1,0,,"01/19/2008:  Unknown perpetrators killed six people that they had previously kidnapped in Tijuana, Mexico.  The perpetrators used guns to kill the kidnap victims before being confronted by the authorities.",1,1,1,1,2,"Other Crime Type",0,1,0,6,"Hostage Taking (Kidnapping)",2,"Armed Assault",,,20,Unknown,,,Unknown,,130,Mexico,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,4,-9,,,,,,,,,-9,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,0,"The date of the kidnapping was not specified.  The authorities identified the location of the crime as that of a Arellano Felix drug cartel shelter.  Four officers were also wounded in the confrontation with the gunmen.","“Kidnappers shoot dead six victims; Mexico International,” Birmingham Post, January 19, 2008.","Jo Tuckman, “International: Kidnap victims found dead after Mexico gunfight,” The Guardian (London), January 19, 2008.",
200802110001,2008,2,11,,0,,347,"East Timor",5,"Southeast Asia",Dili,Dili,-8.558458,125.578151,1,1,"Outside of Dili","02/11/2008:  The President of East Timor, Jose Ramos Horta, was shot 3 times and severely wounded as he was walking outside his home at Areia Branca near Dili, East Timor at around 6:30am. The attack appeared to be a kidnapping attempt gone wrong, and was perpetrated by East Timor Rebels led by renegade Major Alfredo Reinado. Two of Horta's bodyguards, one of which was injured, exchanged fire with the kidnappers/gunmen who were in two vehicles when they attempted to abduct the president. It was also declared that Alfredo Reinado and one of his soldiers were killed in the exchange. This attack as well as a later assassination attempt agains the Prime Minister of East Timor the same day was considered an attempt to overthrow the government.",1,1,1,0,,,0,0,0,6,"Hostage Taking (Kidnapping)",,,,,2,"Government (General)",17,"Head of State","East Timor Government","President Jose Ramos Horta",347,"East Timor",,,,,,,,,,,,,,,,,Unknown,,,,,,"Attempted coup against President Jose Ramos Horta",0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"A rebel group led by Reinado approached President Horta in two cars, and as they tried to make the abduction, Horta reached for a cell phone. The rebels shot him three times, and a shootout ensued with Horta's bodyguards.","Brendan Nicholson, “President fights for life; East Timor leader shot on morning walk in coup attempt,” The Age, Feb 12, 2008.","Lindsay Murdoch, “Man of peace gunned down,” The Age, Feb 12, 2008.","Stephen Fitzpatrick, “President Ramos Horta critical after rebel's assassination attempt - Diggers sent to crisis in Timor,” The Australian, Feb 12, 2008."
200802120001,2008,2,12,,0,,182,Somalia,11,"Sub-Saharan Africa",Sanaag,Erigavo,10.6163,47.366674,1,1,,"02/12/2008:  Somali gunmen abducted a German aid worker for Agro Action aid agency in the Sanag region of Somalia following a brief exchange of gunfire which injured one person. No groups have claimed responsibility for the attack.",1,1,1,0,,,0,1,0,6,"Hostage Taking (Kidnapping)",,,,,12,NGO,62,"International NGO","Agro Action aid agency","German aid worker",75,Germany,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,1,"Two aid workers, one German and one Somali, as well as a driver were also in the car with the German aid worker, but were not abducted.","“Gunmen kidnap German aid worker in Northern Somalia,” Voice of America News, Feb 12, 2008.","Mohamed Olad Hassan, “Somali Gunmen Kidnap German Aid Worker,” Associated Press Online, Feb 12, 2008.",
200802130002,2008,2,13,,0,,98,Italy,8,"Western Europe",Calabria,"Reggio Calabria",38.114633,15.650234,1,0,,"02/13/2008:  A man took hostage 11 children and a teacher at a daycare center in Reggio Calabria, Italy. Nobody was hurt, and the man was convinced to surrender himself to police several hours after the hostage-taking. The suspect was armed with box cutters.  No group has taken responsibility for the attack, and the motive remains unclear.",0,1,1,1,2,"Other Crime Type",0,1,0,6,"Hostage Taking (Kidnapping)",,,,,8,"Educational Institution",49,"School/University/Educational Building","Italian citizens","Children and a teacher at a daycare center",98,Italy,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,1,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,"The man was armed with a box-cutter",12,,"“Daycare hostage situation ends peacefully,” UPI, February 14, 2008.",,
200802160006,2008,2,16,,0,,201,Taiwan,4,"East Asia",Taipei,Taipei,25.091075,121.559834,1,0,,"02/16/2008:  A former Taiwanese lawmaker, Lee Sen-zong, was abducted by two unknown assailants, forced into their vehicle, then shot as he escaped from their vehicle as the perpetrators pulled over to avoid police suspicion.  Police have questioned two suspects in this abduction attempt, who maintain that they did not specifically choose Mr. Sen-zong for political reasons, but randomly because he looked wealthy.  Mr. Sen-zong survived the attack.",1,1,1,0,,,0,0,0,6,"Hostage Taking (Kidnapping)",2,"Armed Assault",,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Taiwanese Legislature","Lee Sen-zong, a former Taiwanese lawmaker",201,Taiwan,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,2,0,0,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,,,,"“Former Lawmaker Shot by Abductors," Taiwan News"," February 16"," 2008.""
200802240009,2008,2,24,,1,2/27/2008,147,Nigeria,11,"Sub-Saharan Africa",Rivers,"Port Harcourt",4.815554,7.049844,1,0,,"02/24/2008:  In Port Harcourt, Nigeria, Celestine Eli Odili, the personal assistant to the former state governor Celestine Omehia, was kidnapped by unknown gunmen as he was exiting church. He is a cousin of Omehia's predecessor Peter Odili. Although he was safely freed on February 27th, little is known about this incident, other than that no ransom was paid for the abducted.",1,1,1,0,,,0,1,0,6,"Hostage Taking (Kidnapping)",,,,,14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified","Celestine Eli Odili, the personal assistant to the former state governor Celestine Omehia","Celestine Eli Odili, the personal assistant to the former state governor Celestine Omehia",147,Nigeria,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,1,"Little information was known about this attack.","“Gunmen kidnap Nigerian in oil hub,” Agence France Presse, February 24, 2008.","“Gunmen free Nigerian hostage in oil hub”, Agence France Presse, February 27, 2008.",
