eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801190007,2008,1,19,,1,1/19/2008,130,Mexico,1,"North America","Baja California",Tijuana,32.493683,-116.95295,1,0,,"01/19/2008:  Unknown perpetrators killed six people that they had previously kidnapped in Tijuana, Mexico.  The perpetrators used guns to kill the kidnap victims before being confronted by the authorities.",1,1,1,1,2,"Other Crime Type",0,1,0,6,"Hostage Taking (Kidnapping)",2,"Armed Assault",,,20,Unknown,,,Unknown,,130,Mexico,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,4,-9,,,,,,,,,-9,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,0,"The date of the kidnapping was not specified.  The authorities identified the location of the crime as that of a Arellano Felix drug cartel shelter.  Four officers were also wounded in the confrontation with the gunmen.","“Kidnappers shoot dead six victims; Mexico International,” Birmingham Post, January 19, 2008.","Jo Tuckman, “International: Kidnap victims found dead after Mexico gunfight,” The Guardian (London), January 19, 2008.",
200802050002,2008,2,5,,0,,217,"United States",1,"North America",California,"Los Angeles",34.097866,-118.407379,1,0,,"02/05/2008:  UCLA professor Edythe London’s home was set on fire by suspected activists, causing property damage but resulting in no casualties. The Animal Liberation Fron (ALF) later claimed responsibility for the attack.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,8,"Educational Institution",49,"School/University/Educational Building","UCLA David Geffen School of Medicine","Edythe London residence",217,"United States",,,,,,,,,,,,,,,,,"Animal Liberation Front (ALF)",,,,,,Unknown,1,,,0,,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"Julia Erlandson, “UCLA researcher’s house targeted again,” University Wire, Feb 06, 2008.","“Fire set at home of UCLA professor,” UPI, Feb 06, 2008.",
200802090004,2008,2,9,,0,,217,"United States",1,"North America",Tennessee,Columbia,35.615725,-87.035447,1,0,,"02/09/2008:  Three men fire-bombed a mosque in Columbia, Tennessee. The messages ‘White power’ and ‘we run the world’, as well as a swastika, were sprayed on the walls. No groups have claimed responsibility for the attack.",1,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","Islamic Mosque","Islamic Center of Columbia",217,"United States",,,,,,,,,,,,,,,,,"Neo-Nazi extremists",,,,,,Unknown,0,,,0,3,3,-9,,,,,,,,,-9,8,Incendiary,20,"Gasoline or Alcohol",,,,,,,,,,,,,"Fire was set using gasoline, rags and empty beer bottles.",,"The phrases "white power"" and ""we run the country"" written by the perpetrators imply a specific motive"," but authorities are uncertain whether or not the act constitutes a hate crime."","Kristin M. Hall, “3 men face federal charges in burning down mosque,” The Associated Press State & Local Wire, Feb 12, 2008.","“Arrests made in Tenn. mosque fire,” UPI, Feb 11, 2008."
200802150002,2008,2,15,,0,,130,Mexico,1,"North America","Federal District","Mexico City",19.371887,-99.086624,1,0,,"02/15/2008:  A homemade bomb exploded near a police headquarters in Mexico City, Mexico, killing one person and injuring another. The bomb is believed to have been detonated by a cell phone, and no groups have claimed responsibility for the attack.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,3,Police,22,"Police Building (headquarters, station, school)","Mexico City police headquarters","Citizens near police station",130,Mexico,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"A homemade bomb was used in the attack.",,"The attack is though to be related to recent violence between Mexican drug cartels operating in the area.","Carlos Rodriguez, “Mexico City police: Explosion kills 1 man, injures woman,” The Associated Press, February 15, 2008.","“Mexico City blast kills one, wounds one,” UPI, February 15, 2008.",
200802150009,2008,2,15,,0,,130,Mexico,1,"North America",Federal,"Mexico City",19.371887,-99.086624,1,0,,"02/15/2008:  A bomb was detonated on a crowded street near a tourist district in Mexico City outside the security ministry, two blocks from the police headquarters.  The explosion killed one person, the individual who detonated the bomb, and wounded two civilians.  Although no group claimed responsibility for this attack, authorities are fairly certain that local drug cartels were the perpetrators of this attack and the intended target was a high-ranking official in the  Public Safety Ministry.",0,1,1,1,2,"Other Crime Type",0,1,1,3,Bombing/Explosion,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Mexico Public Safety Ministry","Authorities suspect that a director of the Public Safety Secretariat was the intended target",130,Mexico,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",Civilians,"local and tourist civilians in the heavily populated area",,,,,,,,,,,Unknown,,,,,,"Authorities believe that this official was targeted by local drug cartels as a form of retaliation for drug raids that occurred in previous weeks.",0,,,0,1,0,0,,,,,,,,,,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,,,,,"Armando Tovar and Cyntia Barrera Diaz “Bomb Kills 1, Wounds 2 in Central Mexico City; Police Surround Site Near Security Ministry; No Group Asserts Responsibility for Blast',” The Washington Post, February 16, 2008.",,
200802170007,2008,2,17,,0,,217,"United States",1,"North America",California,Eureka,40.802071,-124.163673,1,0,"Two fires started in the front and rear of the clinic.","2/17/2008: Unknown perpetrators ignited two fires within the Six Rivers Planned Parenthood in Eureka, California, United States.  There were no casualties and the abortion clinic only sustained $50 in damages.  Biblical scriptures were taped to the front door of the facility.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,5,"Abortion Related",40,Clinics,"Planned Parenthood","Six Rivers Planned Parenthood",217,"United States",,,,,,,,,,,,,,,,,"Anti-Abortion extremists",,,,,,"To protest the practice of abortion and to sabotage abortion facilities operating in California.",0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,20,"Gasoline or Alcohol",,,,,,,,,,,,,"Fire ignited with a flammable fluid",,"The fire was first reported at 1:15 PM.  The attack caused no disruptions to operations at the abortion clinic.","Ryan Burns, "Planned Parenthood Set on Fire in Apparent Hate Crime"," Times-Standard"," February 18"
200802170011,2008,2,17,,0,,217,"United States",1,"North America",California,Eureka,40.802071,-124.163673,1,0,,"02/17/2008:  Unknown perpetrators set two small fires at a Planned Parenthood facility in Six Rivers, California.  The facility was closed at the time, and there were no casualties and only minor property damage.  No group claimed responsibility for this attack.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,5,"Abortion Related",40,Clinics,"Planned Parenthood Federation of America, Inc.","Planned Parenthood facility",217,"United States",,,,,,,,,,,,,,,,,"Anti-Abortion extremists",,,,,,,0,,,0,,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"Karen Wilkinson, “Security tightens at Planned Parenthood,” Eureka Times Standard, February 20, 2008.","Ryan Burns, “Planned Parenthood set on fire in apparent hate crime,” Eureka Times Standard, February 17, 2008.",
200803020012,2008,3,3,,0,,217,"United States",1,"North America",Washington,Woodinville,47.754265,-122.163458,1,0,"Show homes in a northeast suburb of Seattle called Woodinville","3/3/2008: A group of individuals associated with the ELF burned down a number of million-dollar show homes.  Explosives were found at the scene by investigators. The event occurred in Woodinville, a suburb north of Seattle, Washington, United States.  Fire bombs were used to ignite the building.  A spray painted sign was left behind with "ELF"" and ""Build Green? Nope Black!"" painted on it.  The homes were located near the headwaters at Bear Creek.  The area is home to an endangered type of salmon and activists had expressed concerns that not enough was being done to protect the environment in the area."",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,12,Construction,Unknown,"A housing development located in Woodinville was targeted",217,"United States",,,,,,,,,,,,,,,,,"Earth Liberation Front (ELF)",,,,,,"The assailants left behind a banner stating that the homes were not made using eco-friendly practices.  In addition, the housing development was near a headwaters housing endangered salmon.  The project had been criticized for the potential impact it may have on this area.",0,,,0,-99,0,1,5,"Note left at scene",,,,,,,0,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,"Although sources state that the houses burnt down, authorities also found explosive devices in the houses, which they were able to remove.",,"The original source of the blaze is unknown; however, once the fire was set, there were several explosions generated from the gas lines running through the houses.",""Eco-Terror Eyed In Washington State Arson"""," CBS News"," February 11"
200803060004,2008,3,6,,0,,217,"United States",1,"North America","New York","New York City",40.697132,-73.931351,1,0,,"03/06/2008:  A small explosion hit a Armed Forces Career Center in New York's Time Square at 3:43 a.m.  No one was reportedly injured or killed by the blast that broke a glass window and a door.  The NYPD stated that the source of the explosion was an "improvised explosive device.""  No one or group claimed responsibility for the blast."",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,27,"Military Barracks/Base/Headquarters/Checkpost",Military,"Joint Armed Forces Career Center",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,"To attack U.S. military interests.",0,,,0,1,0,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"The device was improvised.",,,"Richard Pyle, "Times Square recruiters accustomed to protest"," but bomb a first"," The Associated Press State and Local Wire"
200804070005,2008,4,7,,0,,217,"United States",1,"North America",Missouri,"Kansas City",39.176086,-94.574127,1,0,"The 8100 block of Wilson Road in Kansas City, Missouri.","4/7/2008: On Monday, an electricity pylon was cut through with a propane torch in the 8100 block of Wilson Road in Kansas City, Missouri. The pylon did not fall over as the intention was. The wheel assembly of a nearby rail car was also cut. No group claimed responsibility for the attack but police suspect eco-terrorists.",1,1,1,1,2,"Other Crime Type",1,1,0,7,"Facility/Infrastructure Attack",,,,,21,Utilities,107,Electricity,,"A pylon at a railroad site",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive for the attack is unknown or was not reported.",0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,"A propane torch was used to cut the poles.",,,"Christine Vendel, "Vandalism Called 'Incredibly Stupid'"," Kansas City Star"," April 9"
