eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801260007,2008,1,26,,0,,86,Guyana,3,"South America",Demerara-Mahaica,Georgetown,6.821806,-58.159218,1,0,"The incident occurred at the Eve Leary neighborhood","01/26/2008:  Unknown perpetrators attacked a police station in Eve Leary, Guyana killing no one and injuring two policemen.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Guyana TSU police base","Police officers",86,Guyana,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,-9,,,,,,,,,-9,5,Firearms,2,"Automatic or Semi-Automatic Rifle",,,,,,,,,,,,,,,"Authorities blamed attack on a gang headed by Rondell Rawlins, who is the country's most wanted fugitive.","“Guyana: ‘Carload of Gunmen’ Carry Out ‘Brazen’ Attack on Police Headquarters,” Georgetown Stabroek News (Internet Version-WWW) in English, January 26, 2008.","“Guyana: Commentary Links Lusignan, Police HQ Attacks as Challenge to Government,” Georgetown Guyana Chronicle (Internet Version-WWW) in English, January 27, 2008.","“Guyanese Parties, Organizations Condemn ‘Terrorist’ Killings in Lusignan,” Georgetown Stabroek News (Internet Version-WWW) in English, January 27, 2008."
200802150006,2008,2,15,,0,,45,Colombia,3,"South America",Arauca,Arauca,7.08582,-70.75779,1,0,,"02/15/2008:  In Arauca, Columbia, Francisco Delgadillo, the municipal council chief for Saravena, was assassinated inside a local shop.  Police detained the suspected assassin shortly after the incident.  Although rebels of the Revolutionary Armed Forces of Colombia (FARC) continue to plague Columbia, no group claimed responsibility for this attack.  Delgadillo received death threats from unknown persons prior to his assassination.",1,1,1,0,,,0,1,0,1,Assassination,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Arauca Municipal Council","Francisco Delgadillo",45,Colombia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,1,0,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,,,"Prior to his assassination, Delgadillo received death threats from unknown persons.","“Colombia: Governor Reports Pro-Uribe Councilman Murdered in Arauca Department,” EFE, February 15, 2008.",,
200802180008,2008,2,18,,0,,86,Guyana,3,"South America",Cuyuni-Mazaruni,Bartica,6.404285,-58.625935,1,0,,"02/18/2008:  Perpetrators dressed in military attire and armed with assault weapons attacked a police station in Bartica, Guyana and stole weapons and ammunition.  There are varying reports on the number of casualties, although the majority of the reports claimed 12 people were killed and seven were injured in this attack.  No group claimed responsibility for this attack.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,22,"Police Building (headquarters, station, school)",Police,"A police station in Bartica, Guyana",86,Guyana,14,"Private Citizens & Property",71,"Race/Ethnicity Identified",Civilians,"Guyani civilians",86,Guyana,,,,,,,,,Unknown,,,,,,,0,,,0,,0,0,,,,,,,,,,5,Firearms,2,"Automatic or Semi-Automatic Rifle",,,,,,,,,,,,,,,,"“Iraq: 2 U.S. Fatalities in Diyala; Bomber Targets Shiites,” The Seattle Post-Intelligencer, February 18, 2008.","Bert Wilkinson, “Gunmen kill at least 3 police, 9 civilians in Guyana,” The Associated Press, February 18, 2008.",""Guyana: Police Link Sunday Shooting to Gang Led by 'Most Wanted' Man” CMC"
200802240003,2008,2,24,,0,,222,Venezuela,3,"South America",Caracas,Caracas,10.482834,-66.962128,1,0,,"02/24/2008:  In Caracas, Venezuela,  44 year old Hector Amado Serrano Abreu who was a former police officer was killed when he accidentally triggered  an explosive near the entrance of the Fedecamaras business chamber headquarters at around 1:00 a.m. (0530 GMT).  Although no group claimed responsibility, pamphlets scattered throughout the scene of this attack read "Bolivarian Republic of Venezuela. The guerilla front will win. The People's Left-wing Army. Caracas. Feb. 24."""",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,3,Bank/Commerce,"Chamber of commerce","Headquarters of the Fedecamaras Business Chamber",222,Venezuela,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,0,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,,,"Although no group claimed responsibility, pamphlets scattered throughout the scene of this attack bore the name “Venceremos of the Central United Left.","Fabiola Sanchez, “Venezuelan official blames 'anarchists' for explosion that killed 1 man,” Associated Press Worldstream, February 25, 2008.","“Venezuelan off-duty police officer killed in bomb attack,” Xinhua General News Service, February 25, 2008.",""Venezuela: One Person Killed in Fedecamaras Blast"
200803050004,2008,3,5,,0,,45,Colombia,3,"South America",Putumayo,"Rio Guamez district",0.53636,-76.5875,3,0,,"03/05/2008:  The Revolutionary Armed Forces of Colombia (FARC), blew up a section of the TransAndean pipeline that goes from Orito to Tumaco on the Pacific Ocean.  The terrorist attack is thought to be a retaliation for the death of alias "Raul Reyes"" death during an army attack a short time ago."",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,21,Utilities,108,Oil,"Oil Pipeline","TransAndean Oil Pipeline",45,Colombia,,,,,,,,,,,,,,,,,"Revolutionary Armed Forces of Colombia (FARC)",,,,,,"To attack the Colombian part of the TransAndean Oil Pipeline.",0,,,0,,0,1,10,Unknown,,,,,,,-9,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,,""Highlights: Colombia Military/Guerilla/Paramilitary Activities"," OSC-Colombia"," March 5"
200803050005,2008,3,5,,0,,45,Colombia,3,"South America",Bogota,Bogota,4.667128,-74.106056,1,0,"The incident occurred in the Chapinero neighborhood","03/05/2008:  Two workers were wounded as an explosive device containing black gunpowder detonated in the Exito supermarket in Chapinero neighborhood in Bogota, Colombia.  Three others were slightly wounded in the explosion.  The perpetrators were not known.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,Supermarket,"Exito supermarket",45,Colombia,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",Civilians,"Colombian civilians near the incident",45,Colombia,,,,,,,,,Unknown,,,,,,"To attack Colombian interests.",0,,,0,,0,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"An explosive device containing black gunpowder was used in the attack.",,,""Highlights: Colombia Military/Guerilla/Paramilitary Activities"," OSC-Colombia"," March 5"
200804010017,2008,4,1,,0,,45,Colombia,3,"South America",Cundinamarca,Guayabetal,4.21557,-73.81502,1,0,"The attack took place in Guayabetal, Cundinarca, Colombia.","04/01/2008: On Tuesday, two members of the Revolutionary Armed Forces of Colombia (FARC) 51st Revolutionary Armed Forces of Colombia (FARC)  were arrested when they were found near a gas pipeline with 10 kilograms of explosives , two electric fuses and 20 yards of wiring in Guayabetal, Cudimamarca, Colombia.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,21,Utilities,106,Gas,,"A gas pipeline was targeted in the attack.",45,Colombia,,,,,,,,,,,,,,,,,"Revolutionary Armed Forces of Colombia (FARC)","Frente 51",,,,,"The specific motive for the attack is unknown.",1,,,0,2,2,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"An improvised explosive device was used in the attack.",,"The summary of this incident was based on  articles originally written in Spanish.","Ejercito Nacional, "Gasoline Pipeline Attack Prevented"," http://www.ejercito.mil.co./?idcategoria=201166"," ( April 1"
200804030006,2008,4,3,,0,,45,Colombia,3,"South America",Guaviare,"San Jose del Guaviare",2.56426,-72.637985,1,0,"At the house the priest was staying at in San José del Guaviare, Guaviare, Colombia.","04/03/2008: On Thursday early in the morning, Luis Hernando Betancourt, a French priest attempting to establish communication with the Revolutionary Armed Forces of Colombia (FARC) in hopes of liberating Ingrid Betancourt and other hostages, was attacked in his home by an unidentified man, presumably a FARC rebel, with a knife in San José del Guaviare, Guaviare, Colombia. Betancourt sustained injuries to his arms and upper body and was treated in a nearby hospital. No claim of responsibility was made for the incident.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,15,"Religious Figures/Institutions",85,"Religious Figure",,"Luis Hernando Betancourt, a French priest,",69,France,,,,,,,,,,,,,,,,,"Revolutionary Armed Forces of Colombia (FARC)",,,,,,"The specific purpose of the attack was unknown, although it was suspected it was carried out to deter any rescue attempt of FARC hostages including Ingrid Betancourt.",1,,,0,1,0,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,"A knife was used in the attack.",,"The summary of this incident was based on an article originally written in Spanish.","Espectador, "Attempt Made on the Life of Priest Trying to Establish Contacts with the FARC in San José del Guaviare"," Espectador"," April 2008.""
200804130033,2008,4,13,,0,,45,Colombia,3,"South America",Cauca,Totoro,2.51379,-76.38945,1,0,"The attack took place in three energy towers of an energy infrastructure in Totoro, Cauca, Colombia.","04/13/2008: On Sunday, Cauca, Colombia, assailants detonated bombs in three energy towers of an energy infrastructure, damaging the facility. The attack left about 60,000 people without power in the towns of Toroto, Inza and Silvia. No group claimed responsibility, although it was widely believed that the Jacobo Arenas Revolutionary Armed Forces of Colombia (Revolutionary Armed Forces of Colombia (FARC)) was responsible.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,21,Utilities,107,Electricity,,"Three energy towers of an energy infrastructure",45,Colombia,,,,,,,,,,,,,,,,,"Revolutionary Armed Forces of Colombia (FARC)","Jacobo Arenas",,,,,"The specific motive for the attack is unknown.",1,,,0,-99,0,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"Unknown explosives were used in the attack.",,"The summary of this incident was partially based on an article originally written in Spanish.","Diario del Sur, "Attacks Against Energy  Infrastructure"," http://www.derechoshumanos.gov.co/bitacoras/bitac_328.asp"," ( April 13"
200804180014,2008,4,18,,0,,159,Peru,3,"South America",Arequipa,Arequipa,-16.407435,-71.536798,1,0,"The incident occurred during a flight from Arequipa to Lima","4/18/2008: On Friday, Wilbert Vivanco Farfan attempted to hijack Peruvian airline Aerocondor on the flight between Arequipa and Lima. Vivanco threatened the lives of passengers and crew if he was not allowed to speak with Peru's President Alan Garcia. The crew subdued him 15 minutes before the plane landed in Lima. No casualties were reported.",1,1,1,0,,,0,1,0,4,Hijacking,,,,,6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Aerocondor Airlines","Peruvian airline Aerocondor on the flight between Arequipa and Lima",159,Peru,,,,,,,,,,,,,,,,,Unknown,,,,,,"The attacker wanted to be able to speak to Peru's president Allen Garcia.",0,,,0,1,1,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,"A Swiss Army knife was used in the attack.",,,"China View, "Passenger Tries to Enter Peruvian Airliner Cockpit"," Xinhua News Agency"," http://news.xinhuanet.com/english/2008-04/22/content_8029644.htm.""
200804200039,2008,4,20,,0,,45,Colombia,3,"South America",Antioquia,Taraza,7.579405,-75.400101,1,0,"The farmers were forced to march from the mountains of Bajo Cauca to Taraza, Antioquia, Colombia.","04/20/2008: On Sunday, after assailants organized a protest and forced farmers to join it, they opened fire on the farmers, killing one civilian and wounding fourteen others. They then barricaded the areas with vehicles set on fire, robbed a bank, and fired on responding police officers. No group claimed responsibility, although it was reported that the Revolutionary Armed Forces of Colombia (Revolutionary Armed Forces of Colombia (FARC)) was responsible.",1,1,1,0,,,0,1,0,2,"Armed Assault",7,"Facility/Infrastructure Attack",,,14,"Private Citizens & Property",72,Farmer,,Farmer,45,Colombia,1,Business,3,Bank/Commerce,,"A bank was targeted in the attack.",45,Colombia,,,,,,,,,"Revolutionary Armed Forces of Colombia (FARC)","Frente 36",,,,,"The specific motive for the attack is unknown.",1,,,0,-99,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",8,Incendiary,20,"Gasoline or Alcohol",,,,,,,,,"Unknown firearms and incendiary devices were used in the attack.",,"The summary of this incident was partially based on an article originally written in Spanish.","National Counterterrorism Center, "One Civilian Killed"," Fourteen Others Wounded in Armed Attack in Taraza"," Antioquia"
200804220015,2008,4,22,,0,,45,Colombia,3,"South America",Cordoba,"Puerto Libertador",7.89014,-75.66967,1,0,"In a coca field in Puerto Libertador, Southern Colombia.","04/22/2008: On Tuesday, one worker was killed and another wounded when a landmine exploded while they were working on a coca eradication project in Puerto Libertador,  southern Colombia. Authorities suspected Revolutionary Armed Forces of Colombia Revolutionary Armed Forces of Colombia (FARC)  responsible for the attack.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified",,"Two coca eradicators",45,Colombia,,,,,,,,,,,,,,,,,"Revolutionary Armed Forces of Colombia (FARC)",,,,,,"The specific motive for the attack is unknown.",1,,,0,-99,0,0,,,,,,,,,,6,Explosives,8,Landmine,,,,,,,,,,,,,"An unspecified landmine was used in the attack.",,,"EEF, "Landmine Blast Kills Worker Eradicating Coca"," World News Connection"," EEF"
