eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801010004,2008,1,1,,0,,195,Sudan,11,"Sub-Saharan Africa",Khartoum,Khartoum,15.500747,32.560083,1,0,,"01/01/2008:  John Granville, a 33-year-old official with the US Agency for International Development, and his Sudanese driver were killed by gunmen in a passing car who cut them off while driving in Sudan's capital.",1,1,1,1,2,"Other Crime Type",0,1,0,2,"Armed Assault",,,,,7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","US Agency for International Development","John Granville",217,"United States",7,"Government (Diplomatic)",,,,"Granville's driver",195,Sudan,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,2,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"The press was making links to Al-Qa'ida's murder of Laurence Foley in Amman, Jordan in 2002.  However, any terror connection is still speculative.","The Australian (Australia), “US official shot as UN force takes over Darfur,” January 2, 2008.","Ellen Knickmeyer, “Gunmen kill U.S. diplomat, driver in Sudan's capital,” Washington Post, January 2, 2008.","Jeffrey Gettleman, “American is killed in Sudan; Usaid official is shot along with his driver in Khartoum attack,” The International Herald Tribune, January 2, 2008."
200801020011,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/02/2008:  A soldier was killed in south Baghdad when his dismounted patrol hit a roadside bomb.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Multi-National Force – Iraq (MNF-I)",Patrol,217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A roadside bomb was used in the attack.",,,"Bradley Brooks, “Rival Shiites in Iraq Try to Make Peace,” Associated Press Online, January 3, 2008.","Agence France Presse, “Three US soldiers killed in Iraq,” January 3, 2008.",
200801050004,2008,1,5,,0,,95,Iraq,10,"Middle East & North Africa",Diyala,Unknown,33.795979,45.247376,4,0,"Somewhere in Diyala Governorate","01/05/2008:  A roadside bomb struck a U.S. military vehicle in Diyala Governorate, Iraq.  One American Soldier died.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Multi-National Force – Iraq (MNF-I)",Soldiers,217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,"The attack was in connection with the insurgency against U.S. forces in Iraq.",0,,,0,,0,0,,,,,,,,,,6,Explosives,10,"Pressure Trigger",,,,,,,,,,,,,,,,"Bradley Brooks, "Bomber kills 8 in central Baghdad; targeted soldiers"," civilians celebrating Iraqi Army Day"," The Associated Press"
200801060008,2008,1,6,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/06/2008:  An improvised explosive device detonated near a military vehicle in combat operations in southern Baghdad, killing one Multi-National Division-Baghdad soldier and wounding three others. There were no known perpetrators.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Multi-National Force – Iraq (MNF-I)",Soldiers,217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,"The attack was in connection with the insurgency against U.S. and Iraqi forces in Iraq.",0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"The bomb was an improvised explosive device",,,"Hussein Kadhim, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 6"
200801060009,2008,1,6,,0,,95,Iraq,10,"Middle East & North Africa",Saladin,Tikrit,34.621521,43.668377,1,0,,"01/06/2008:  A roadside bomb targeted an American convoy in Tikrit, Iraq.  Gunmen killed two U.S. soldiers following the blast.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,2,"Armed Assault",,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Multi-National Force – Iraq (MNF-I)",Soldiers,217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,"The attack was in connection with the insurgency against U.S. and Iraqi forces in Iraq.",0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",5,Firearms,5,"Unknown Gun Type",,,,,,,,,"A roadside bomb was used in the attack.",,,"Hussein Kadhim, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 6"
200801080008,2008,1,8,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/08/2008:  A roadside bomb targeted an American patrol in southeast Baghdad, Iraq at around 3:30 pm Iraqi local time.  No casualties, identity of the terrorists or motive were reported.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Multi-National Force – Iraq (MNF-I)",Soldiers,217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,"The attack was in connection with the insurgency against U.S. forces in Iraq.",0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A roadside bomb was used in the attack.",,,"Hussein Kadhim, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 8"
200801080011,2008,1,8,,0,,95,Iraq,10,"Middle East & North Africa",Saladin,Unknown,34.533753,43.483738,4,0,"Somewhere in the area.","01/08/2008:  U.S. soldiers were attacked by insurgents in the Salaheddin Governorate of Iraq.  Three soldiers were killed and two others were wounded in the small arms attack.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,2,"Armed Assault",,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Multi-National Force – Iraq (MNF-I)",Soldiers,217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,"The attack was in connection with the insurgency against U.S. forces in Iraq.",0,,,0,,0,0,,,,,,,,,,5,Firearms,6,"Other Gun Type",,,,,,,,,,,,,"The guns used were small arms, but reports did not specify which type.",,,""Three US soldiers killed in Iraq"," Agence France Presse"," January 9"
200801160002,2008,1,16,,0,,110,Lebanon,10,"Middle East & North Africa",Beirut,Beirut,33.888523,35.503513,1,1,"Beirut suburb of Karantina","01/16/2008:  A car bomb that was set off in Beirut, Lebanon at around 4:30 pm by unknown perpetrators killed three and injured twenty-five others.  The target of this attack was a United States Embassy vehicle.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","United States","United States Diplomat Vehicle",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,15,Vehicle,,,,,,,,,,,,,,,"Car bomb targeted a United States Embassy car that had no diplomats inside.  Resulting attack killed three bystanders and wounded twenty-five others including the driver of the United States Embassy car.","“’Unclaimed’ Attacks Fail as Messages Analysts,” The Daily Star, January 16, 2008.","“Stolen Honda Used in Attack on US Vehicle,” The Daily Star, January 16, 2008.","Tim Butcher, “Lebanon bombers target US embassy staff,” The Daily Telegraph (London), January 16, 2008."
200801290001,2008,1,29,,0,,95,Iraq,10,"Middle East & North Africa",Nineveh,Mosul,36.354145,43.14357,1,0,,"01/29/2008:  An unknown suicide car bomber targeting a United States patrol blew himself up in Mosul, Iraq killing one civilian and injuring fifteen others.  No coalition forces were killed or injured.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,1,3,Bombing/Explosion,,,,,4,Military,29,"Military Unit/Patrol/Convoy","Multi-National Force – Iraq (MNF-I)","United States patrol",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,0,-9,,,,,,,,,-9,6,Explosives,15,Vehicle,,,,,,,,,,,,,,,,"“Iraqi police find remains, heads of 19 executed men,” Agence France Presse – English, January 29, 2008.","Mujahed Mohammed, “10 hurt as Mosul attacks target US,” Agence France Presse – English, January 29, 2008.","Hamid Ahmed, “Suicide car bomb kills 1 Iraqi, wounds 15 in Mosul day after deadly attack on Americans,” The Associated Press, January 29, 2008."
200802050002,2008,2,5,,0,,217,"United States",1,"North America",California,"Los Angeles",34.097866,-118.407379,1,0,,"02/05/2008:  UCLA professor Edythe London’s home was set on fire by suspected activists, causing property damage but resulting in no casualties. The Animal Liberation Fron (ALF) later claimed responsibility for the attack.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,8,"Educational Institution",49,"School/University/Educational Building","UCLA David Geffen School of Medicine","Edythe London residence",217,"United States",,,,,,,,,,,,,,,,,"Animal Liberation Front (ALF)",,,,,,Unknown,1,,,0,,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"Julia Erlandson, “UCLA researcher’s house targeted again,” University Wire, Feb 06, 2008.","“Fire set at home of UCLA professor,” UPI, Feb 06, 2008.",
200802090004,2008,2,9,,0,,217,"United States",1,"North America",Tennessee,Columbia,35.615725,-87.035447,1,0,,"02/09/2008:  Three men fire-bombed a mosque in Columbia, Tennessee. The messages ‘White power’ and ‘we run the world’, as well as a swastika, were sprayed on the walls. No groups have claimed responsibility for the attack.",1,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","Islamic Mosque","Islamic Center of Columbia",217,"United States",,,,,,,,,,,,,,,,,"Neo-Nazi extremists",,,,,,Unknown,0,,,0,3,3,-9,,,,,,,,,-9,8,Incendiary,20,"Gasoline or Alcohol",,,,,,,,,,,,,"Fire was set using gasoline, rags and empty beer bottles.",,"The phrases "white power"" and ""we run the country"" written by the perpetrators imply a specific motive"," but authorities are uncertain whether or not the act constitutes a hate crime."","Kristin M. Hall, “3 men face federal charges in burning down mosque,” The Associated Press State & Local Wire, Feb 12, 2008.","“Arrests made in Tenn. mosque fire,” UPI, Feb 11, 2008."
200802110003,2008,2,11,,0,,4,Afghanistan,6,"South Asia",Kandahar,Kandahar,31.631083,65.742226,1,1,"25 kilometers north of Kandahar","02/11/2008:  A roadside bomb exploded behind a convoy of Canadian, American and British forces as they headed towards a high-level meeting with Afghan community leaders near Kandahar, Afghanistan. At least two people were injured, and no groups have claimed responsibility for the attack.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,29,"Military Unit/Patrol/Convoy","US Forces","US Forces in convoy",217,"United States",4,Military,29,"Military Unit/Patrol/Convoy","Canadian Forces","Canadian Forces in convoy",38,Canada,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",6,Explosives,12,"Remote Trigger",,,,,,,,,"A roadside bomb was used in the attack.",,"Although the attacks were directed towards the military convoy, the intent was likely to intimidate the Sunni leaders preparing to meet with them.","Stephanie Levitz, “Four Afghans captured after bomb misses Canadian, U.S. convoys,” The Toronto Star, Feb 12, 2008.",,
200802170007,2008,2,17,,0,,217,"United States",1,"North America",California,Eureka,40.802071,-124.163673,1,0,"Two fires started in the front and rear of the clinic.","2/17/2008: Unknown perpetrators ignited two fires within the Six Rivers Planned Parenthood in Eureka, California, United States.  There were no casualties and the abortion clinic only sustained $50 in damages.  Biblical scriptures were taped to the front door of the facility.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,5,"Abortion Related",40,Clinics,"Planned Parenthood","Six Rivers Planned Parenthood",217,"United States",,,,,,,,,,,,,,,,,"Anti-Abortion extremists",,,,,,"To protest the practice of abortion and to sabotage abortion facilities operating in California.",0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,20,"Gasoline or Alcohol",,,,,,,,,,,,,"Fire ignited with a flammable fluid",,"The fire was first reported at 1:15 PM.  The attack caused no disruptions to operations at the abortion clinic.","Ryan Burns, "Planned Parenthood Set on Fire in Apparent Hate Crime"," Times-Standard"," February 18"
200802170011,2008,2,17,,0,,217,"United States",1,"North America",California,Eureka,40.802071,-124.163673,1,0,,"02/17/2008:  Unknown perpetrators set two small fires at a Planned Parenthood facility in Six Rivers, California.  The facility was closed at the time, and there were no casualties and only minor property damage.  No group claimed responsibility for this attack.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,5,"Abortion Related",40,Clinics,"Planned Parenthood Federation of America, Inc.","Planned Parenthood facility",217,"United States",,,,,,,,,,,,,,,,,"Anti-Abortion extremists",,,,,,,0,,,0,,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"Karen Wilkinson, “Security tightens at Planned Parenthood,” Eureka Times Standard, February 20, 2008.","Ryan Burns, “Planned Parenthood set on fire in apparent hate crime,” Eureka Times Standard, February 17, 2008.",
200802190006,2008,2,19,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.283359,44.520464,1,1,"Rustamiya area","02/19/2008: Assailants launched rockets at a United States military base near Rustamiya, Baghdad, Iraq. One United States (US) civilian was killed and an unknown number of US and coalition personnel were wounded in the attack. No group claimed responsibility for the incident; however, authorities attributed the attack to Kata'ib Hezbollah.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,27,"Military Barracks/Base/Headquarters/Checkpost","United States Military",Base,217,"United States",,,,,,,,,,,,,,,,,"Kata'ib Hezbollah",,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,"Improvised rocket-assisted mortar (IRAM)",,,"Press Center, "Treasury Designates Individual"," Entity Posing Threat to Stability in Iraq"," United States Department of the Treasury"
200802210005,2008,2,21,,0,,1001,Serbia,9,"Eastern Europe",Belgrade,Belgrade,44.802416,20.465601,1,0,,"02/21/2008:  In related incidents, a group of purported Serb protesters broke into and torched the US Embassy in Belgrade, which resulted in property damage to the structure.  One person, who was believed to be a protester, perished in the blaze and approximately 150 civilians were injured.  No group claimed responsibility for this incident.",1,1,1,0,,,1,1,0,2,"Armed Assault",7,"Facility/Infrastructure Attack",,,7,"Government (Diplomatic)",46,Embassy/Consulate,"United States Department of State","US Embassy in Belgrade",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,0,0,,,,,,,,,,5,Firearms,3,Handgun,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,"Simon Roughneen “Despite security push, rioters torch embassy in Belgrade; Kosovo support costs U.S.,” The Washington Times, February 22, 2008.","“'Thugs' burn U.S. Embassy; Serbs rage over Kosovo's independence,” Grand Rapids Press, February 22, 2008.","Slobodan Lekic, “Serbs Break Into US Embassy, Set Fire,” Associated Press Online, February 22, 2008."
200803020012,2008,3,3,,0,,217,"United States",1,"North America",Washington,Woodinville,47.754265,-122.163458,1,0,"Show homes in a northeast suburb of Seattle called Woodinville","3/3/2008: A group of individuals associated with the ELF burned down a number of million-dollar show homes.  Explosives were found at the scene by investigators. The event occurred in Woodinville, a suburb north of Seattle, Washington, United States.  Fire bombs were used to ignite the building.  A spray painted sign was left behind with "ELF"" and ""Build Green? Nope Black!"" painted on it.  The homes were located near the headwaters at Bear Creek.  The area is home to an endangered type of salmon and activists had expressed concerns that not enough was being done to protect the environment in the area."",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,12,Construction,Unknown,"A housing development located in Woodinville was targeted",217,"United States",,,,,,,,,,,,,,,,,"Earth Liberation Front (ELF)",,,,,,"The assailants left behind a banner stating that the homes were not made using eco-friendly practices.  In addition, the housing development was near a headwaters housing endangered salmon.  The project had been criticized for the potential impact it may have on this area.",0,,,0,-99,0,1,5,"Note left at scene",,,,,,,0,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,"Although sources state that the houses burnt down, authorities also found explosive devices in the houses, which they were able to remove.",,"The original source of the blaze is unknown; however, once the fire was set, there were several explosions generated from the gas lines running through the houses.",""Eco-Terror Eyed In Washington State Arson"""," CBS News"," February 11"
200803060004,2008,3,6,,0,,217,"United States",1,"North America","New York","New York City",40.697132,-73.931351,1,0,,"03/06/2008:  A small explosion hit a Armed Forces Career Center in New York's Time Square at 3:43 a.m.  No one was reportedly injured or killed by the blast that broke a glass window and a door.  The NYPD stated that the source of the explosion was an "improvised explosive device.""  No one or group claimed responsibility for the blast."",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,27,"Military Barracks/Base/Headquarters/Checkpost",Military,"Joint Armed Forces Career Center",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,"To attack U.S. military interests.",0,,,0,1,0,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"The device was improvised.",,,"Richard Pyle, "Times Square recruiters accustomed to protest"," but bomb a first"," The Associated Press State and Local Wire"
