eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801010008,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/01/2008:  A suicide bomber killed at least 36 people and wounded 30 others at a gathering in Baghdad to mourn the death of a retired Shia army officer.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",78,"Procession/Gathering (funeral, wedding, birthday, religious)","Iraqi civilians","Civilians attending the funeral of a slain Shia army officer.",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,0,0,,,,,,,,,,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,,,,"The press was making comparisons to Al-Qa'ida's suicide-bombings of funeral processions in past years.  Many of the victims were members of a Sunni tribal movement known as Awakening Councils.","Solomon Moore, “2nd female bomber hits Sunni tribesmen in Iraq,” The International Herald Tribune, January 3, 2008.","The Australian (Australia), “Suicide bomb at funeral kills 32,” January 3, 2008.","Elena Becatoros, “Death toll from suicide bombing at Baghdad funeral rises to 36,” Associated Press, January 3, 2008."
200801010009,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Saladin,Balad,34.010471,44.148235,1,0,,"01/01/2008:  An ambush in Salahuddin province killed one Iraqi police officer and injured six others, including the Salam Iraqi police commander. The report added that three Iraqi National Police officers also were injured in the attack.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Iraqi Police Service (IPS)",Officers,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"CQ Federal Department and Agency Documents, “Troops kill 2, capture 21 in Iraq,” January 3, 2008.","Voice of America News, “Coalition Troops in Iraq Kill and Capture Explosives-Planting Insurgents,” January 2, 2008.","Deutsche Presse-Agentur, “Suicide bombing kills five in Baghdad,” January 1, 2008."
200801010012,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Diyala,Unknown,33.795979,45.247376,4,0,,"01/01/2008:  In Diyala, nine Iraqi soldiers were wounded when bombs exploded as the soldiers came to reinforce a checkpoint in the province that had been attacked by insurgents.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Iraqi Army",,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,"Conflict in the report location.  One presumes Diyala and the other Salah ad Din.  There is also a difference in terminology for the victims one stating police and the other soldiers.  However, they could be the same incident given the number of wounded and the geographic proximity of the two provinces.","Richard A. Oppel Jr. and Qais Mizher, “Suicide bomber kills 30 in Baghdad; Attacker blows himself up at funeral for victim of earlier killing,” The International Herald Tribune, January 2, 2008.","Voice of America News, “Coalition troops in Iraq kill and capture explosives-planting insurgents,” January 2, 2008.",
200801010017,2008,1,1,,0,,97,Israel,10,"Middle East & North Africa",Southern,Sderot,31.5282,34.596382,1,0,,"01/01/2008:  A joint group of fighters from the National Resistance Brigades of the Democratic Front for the Liberation of Palestine (DFLP) and the Al-Aqsa Brigades of Fatah and the Abu Ali Mustafa Brigades of the Popular Front for the Liberation of Palestine (PFLP), claimed responsibility for firing three homemade projectiles at the Israeli town of Sderot, in western Negev.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",,,Israel,,97,Israel,,,,,,,,,,,,,,,,,"Democratic Front for the Liberation of Palestine (DFLP)",,"Al-Aqsa Martyrs Brigade",,"Popular Front for the Liberation of Palestine (PFLP)",,"The brigades said in a joint statement that the shelling was a natural response to the Israeli atrocities against the Palestinian people.",0,0,0,0,,0,1,9,Other,1,9,Other,1,9,Other,0,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,"BBC Worldwide Monitoring, “Palestinian groups fire at Israeli targets, IDF troops wound West Bank youth,” Ma'an website (Palestinian news agency), January 2, 2008.","United Press International, “Six reported dead in Gaza fighting,” January 2, 2008.",
200801010021,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Kirkuk,Zab,35.271023,43.458084,1,0,,"01/01/2008:  An explosive device went off near an Iraqi army patrol in Zab, wounding three soldiers. The jdsklf of the Al-Fatihin Army (AFA) claimed responsibility for the attack on their website.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Iraqi Army",,95,Iraq,,,,,,,,,,,,,,,,,"Al-Fatihin Army (AFA)","Abu Ayyub al-Ansari Brigade",,,,,Unknown,0,,,0,,0,1,7,"Posted to website, blog, etc.",,,,,,,-9,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,,"Deutsche Presse-Agentur, “Three Iraqi civilians killed in Kirkuk,” January 1, 2008.","Media Department of the Al-Fatihin Army, “Al-Fatihin Army Claims Seven Attacks Against Coalition, Iraqi Forces,” Jihadist websites, January 3, 2008.",
200801020002,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Diyala,Baqubah,33.74324,44.623825,1,0,,"01/02/2008:  A suicide bomber detonated an explosive vest at a checkpoint in downtown Baquba, capital of Diyala Province which is about 35 miles northeast of Baghdad. According to Iraqi police, the explosion killed at least seven people including Abu Sajad, a leader of the local Awakening Council volunteer force, and wounding twenty-two people.  According to U.S. military officials, the attack killed four people and wounded six while hospital and morgue officials put the number of deaths at four and wounded at twenty-three. There was also speculation over the gender of the bomber. Nearby buildings and vehicles were also damaged. The US military said the bomber jumped onto the hood of an Awakening Council patrol car and detonated the explosives, killing the driver and three others in the process. The attacker was an al-Qaeda supporter. Awakening Council consists of the 1920 Revolution Brigades, once an insurgent group, who have allied themselves with the U.S. military in an effort to decrease terrorism in Iraq.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,17,"Terrorists/Non-State Militia",94,"Non-State Militia","Sahwa Council","Leader: Abu Sajad",95,Iraq,14,"Private Citizens & Property",,,,,95,Iraq,,,,,,,,,"Al-Qaida in Iraq",,,,,,"Osama bin Laden called Awakening Council members ''infidels'' and ''traitors'' for siding with the Americans.  The attack was believed to be against them.",1,,,0,1,0,0,,,,,,,,,,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,,,,"Al Qa'ida in Mesopotamia, a homegrown insurgent group that American intelligence says is led by foreigners, has staged repeated attacks in Diyala against the Sunni tribesmen, known as Awakening Council members.  Al Qa'ida in Mesopotamia is suspected in this attack.  Since I was unsure how to classify the "target type"" of Awakening Council members"," I coded them as police."","Solomon Moore, “Attacker Bombs Pro-U.S. Sunnis in Iraq,” New York Times, January 3, 2008, late edition final.","Kimi Yoshino, “Bomber in Iraq town kills key Sunni,” Los Angeles Times, January 3, 2008, home edition."
200801020003,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Diyala,Muqdadiyah,33.953167,44.921906,1,0,,"01/02/2008:  In Muqdadiya, gunmen killed six people and wounded three.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Iraqi Civilians",,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Solomon Moore, “Attacker Bombs Pro-U.S. Sunnis in Iraq,” New York Times, January 3, 2008, late edition final.",,
200801020004,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/02/2008:  In eastern Baghdad, a roadside bomb targeting a police patrol in the city's Shaab neighborhood (possibly Zayouna neighborhood) wounded six people, including three police officers. The bomb was planted by unidentified persons.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,3,Police,25,"Police Security Forces/Officers","Iraqi Police Service (IPS)",Patrol,95,Iraq,14,"Private Citizens & Property",,,,,95,Iraq,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A roadside bomb was used in the attack.",,,"Kimi Yoshino, “Bomber in Iraq town kills key Sunni,” Los Angeles Times, January 3, 2008, home edition.","Solomon Moore, “2nd female bomber hits Sunni tribesmen in Iraq,” The International Herald Tribune, January 3, 2008.","Elena Becatoros, “Death toll from suicide bombing at Baghdad funeral rises to 36,” Associated Press, January 2, 2008."
200801020005,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Basra,Basra,30.510054,47.778095,1,0,,"01/02/2008:  In Basra, three mortar rockets hit the airport; the police reported no casualties.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,6,"Airports & Aircraft",44,Airport,"Basra Airport","Basra airport",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,"Solomon Moore, “2nd female bomber hits Sunni tribesmen in Iraq,” The International Herald Tribune, January 3, 2008.",,
200801020006,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Saladin,Samarra,34.208416,43.890713,1,1,"Northeast of Samarra","01/02/2008:  Northeast of Samarra, gunmen dragged two brothers from their shop and shot them in front of passersby. One of the victims, a city official in Samarra, died at the scene.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,1,Business,7,Retail/Grocery/Bakery,Shop,,95,Iraq,2,"Government (General)",18,"Government Personnel (excluding police, military)",,"Samarran city official",95,Iraq,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Kimi Yoshino, “Bomber in Iraq town kills key Sunni,” Los Angeles Times, January 3, 2008, home edition.",,
