eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801010003,2008,1,1,,0,,92,India,6,"South Asia","Uttar Pradesh",Rampur,25.47283,82.570528,1,0,,"01/01/2008:  Between 3-5 men with guns and grenades ambushed the Central Reserve Police Force recruitment centre  in the northern state of Uttar Pradesh in India early yesterday (Tuesday), in an attack that killed seven police officers and one rickshaw puller. The men opened fire at the centre located in Rampur over 250 kilometers north-west of state capital Lucknow at about 2:20 am. After they shot and killed two police officers and the rickshaw puller, the men threw a grenade over the gate of the centre which killed 5 more officers. Five reserve officers and two constables from the state police were also injured in the gun battle.  No group has claimed responsibility but it is suspected that the Islamic militant group Lashkar-e-Taiba are the attackers. They were not captured.",crit1,1,1,0,,,0,1,0,2,"Armed Assault",3,Bombing/Explosion,,,3,Police,22,"Police Building (headquarters, station, school)","Indian police forces","Police recruiting center",92,India,,,,,,,,,,,,,,,,,"Lashkar-e-Taiba (LeT)",,,,,,Unknown,0,,,0,2,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",6,Explosives,7,Grenade,,,,,,,,,,,"Authorities intercepted some phone calls which indicate that terror groups like Lashkar-e-Toiba are involved in the operation while groups like Harkat-ul-Jihad-e-Islami have lent it logistical support.","The Advertiser (Australia), “Eight die in police centre raid,” January 2, 2008.","United Press International, “Indian police clueless over terror strike,” January 3, 2008.","Bisawajeet Banerjee, “7 police officers, 1 civilian killed in attack at recruitment center in northern India,” Associated Press, January 1, 2008."
200801010004,2008,1,1,,0,,195,Sudan,11,"Sub-Saharan Africa",Khartoum,Khartoum,15.500747,32.560083,1,0,,"01/01/2008:  John Granville, a 33-year-old official with the US Agency for International Development, and his Sudanese driver were killed by gunmen in a passing car who cut them off while driving in Sudan's capital.",1,1,1,1,2,"Other Crime Type",0,1,0,2,"Armed Assault",,,,,7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","US Agency for International Development","John Granville",217,"United States",7,"Government (Diplomatic)",,,,"Granville's driver",195,Sudan,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,2,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"The press was making links to Al-Qa'ida's murder of Laurence Foley in Amman, Jordan in 2002.  However, any terror connection is still speculative.","The Australian (Australia), “US official shot as UN force takes over Darfur,” January 2, 2008.","Ellen Knickmeyer, “Gunmen kill U.S. diplomat, driver in Sudan's capital,” Washington Post, January 2, 2008.","Jeffrey Gettleman, “American is killed in Sudan; Usaid official is shot along with his driver in Khartoum attack,” The International Herald Tribune, January 2, 2008."
200801010005,2008,1,1,,0,,147,Nigeria,11,"Sub-Saharan Africa",Rivers,"Port Harcourt",4.815554,7.049844,1,0,,"01/01/2008:  Suspected militants attacked two police stations, a luxury hotel and a night club in Nigeria's oil city Port Harcourt yesterday leaving 18 people dead.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,,,"Nigerian police",,147,Nigeria,1,Business,,,,,147,Nigeria,,,,,,,,,"Niger Delta Vigilante (NDV)",,,,,,"Believed to have been a response to strikes by the Nigerian military on the headquarters of the Niger Delta Vigilante in the town of Okrika.",0,,,0,,0,1,2,"Call (post-incident)",,,,,,,-9,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"The Advertiser (Australia), “Nigeria 13 dead in raids,” January 3, 2008.","Ufford Wilson, “Militia raids on hotel lobby, police stations kill 13 in Nigerian oil city,” Associated Press, January 1, 2008.","Lydia Polgreen, “Gang blamed as 10 are killed in attacks at Nigerian oil port,” New York Times, January 2, 2008, late edition final."
200801010006,2008,1,1,,0,,186,"Sri Lanka",6,"South Asia",Western,Colombo,6.941837,79.861687,1,0,,"01/01/2008:  Prominent Sri Lankan opposition Tamil parliamentarian Thiagarajah Maheswaran of the main opposition United National Party was shot dead at a Hindu temple. One of his bodyguards was also killed.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","United National Party","Thiagarajah Maheswaran",186,"Sri Lanka",,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,1,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"A suspected was wounded by a security guard.  The police investigation continues.","Reuters, “Sri Lankan parliamentarian shot dead at Hindu temple,” The Globe and Mail (Canada), January 2, 2008.","Bharatha Mallawarachi, “Sri Lanka opposition lawmaker dies after being shot near capital,” Associated Press, January 1, 2008.","Amal Jayasinghe, “Sri Lankan Tamil MP assassinated in temple,” Agence France Presse, January 1, 2008."
200801010009,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Saladin,Balad,34.010471,44.148235,1,0,,"01/01/2008:  An ambush in Salahuddin province killed one Iraqi police officer and injured six others, including the Salam Iraqi police commander. The report added that three Iraqi National Police officers also were injured in the attack.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Iraqi Police Service (IPS)",Officers,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"CQ Federal Department and Agency Documents, “Troops kill 2, capture 21 in Iraq,” January 3, 2008.","Voice of America News, “Coalition Troops in Iraq Kill and Capture Explosives-Planting Insurgents,” January 2, 2008.","Deutsche Presse-Agentur, “Suicide bombing kills five in Baghdad,” January 1, 2008."
200801010015,2008,1,1,,0,,92,India,6,"South Asia",Bihar,"Munger district",25.197613,86.540267,3,0,,"01/01/2008:  Suspected Maoist rebels shot dead four policemen in the state of Bihar.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,,,"Indian police",,92,India,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"Authorities suspect Maoist rebels.","Biswajeet Banerjee, “12 killed in 2 separate ambushes on security personnel in India,” Associated Press, January 1, 2008.","Indo-Asian News Service, “Maoists kill four policemen,” HT Syndication, January 1, 2008.",
200801010018,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Parwan,"Kohi Safi district",34.759444,69.471667,3,0,,"01/01/2008:  One army soldier was killed and another wounded when their convoy was ambushed by a group of militants in the Kohe Safi area of the north-eastern province of Parwan.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,2,"Armed Assault",,,,,4,Military,29,"Military Unit/Patrol/Convoy","Afghan National Army (ANA)",Convoy,4,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"The two reports conflict on persons killed (1 or 2), and the province location (Parwan or Kabul).","Deutsche Presse-Agentur, “At least 23 killed in Afghan violence,” January 2, 2008.","Radio Afghanistan, “Home news,” January 2, 2008.",
200801010022,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Badghis,"Murghab district",35.640348,63.309294,3,0,,"01/01/2008:  Taliban fighters had carried out an attack on a police checkpoint in the border Mangan area of Balamorghab district of the province.  A police vehicle was damaged, one policeman was killed and two others were wounded.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Afghani police",,4,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,1,9,Other,,,,,,,-9,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"The Taliban spokesman claims that 11 police were killed in the attack and two vehicles stolen.","Pajhwok Afghan News, “10 Taliban, policeman killed in Badghis clash,” January 1, 2008.","BBC Monitoring, “Press selection list for Afghan newspapers 2Jan08,” Pagah (independent daily), January 2, 2008.",
200801010024,2008,1,1,,0,,92,India,6,"South Asia","West Bengal","Purulia district",23.332078,86.365208,3,0,,"01/01/2008:  Leftist guerrillas shot dead Pahalan Kumar Majhi in Purulia district after the insurgents dragged him out of his home.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",84,"Political Party Member/Rally","Communist Party of India-Marxist (CPI-M)","Pahalan Kumar Majhi",92,India,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"Police suspect Maoist guerrillas for the attack.","Indo-Asian News Service, “Maoists kill two CPI-M men in West Bengal,”  HT Syndication, January 2, 2008.","The Statesman (India), “Maoists mow down 2 CPM leaders,” January 3, 2008.",
200801010025,2008,1,1,,0,,92,India,6,"South Asia","West Bengal","Burdwan district",23.232421,87.861479,3,0,,"01/01/2008:  In Burdwan a group of assailants, suspected of having connections with the Maoists, killed the 52-year-old Sisir Chatterjee, a CPI-M zonal committee member, in the Mangalkot area.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Communist Party of India-Marxist (CPI-M)","Sisir Chatterjee",92,India,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,,,"Police suspect Maoist guerrillas for the attack.","Indo-Asian News Service, “Maoists kill two CPI-M men in West Bengal,”  HT Syndication, January 2, 2008.","The Statesman (India), “Maoists mow down 2 CPM leaders,” January 3, 2008.",
200801020003,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Diyala,Muqdadiyah,33.953167,44.921906,1,0,,"01/02/2008:  In Muqdadiya, gunmen killed six people and wounded three.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Iraqi Civilians",,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Solomon Moore, “Attacker Bombs Pro-U.S. Sunnis in Iraq,” New York Times, January 3, 2008, late edition final.",,
200801020006,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Saladin,Samarra,34.208416,43.890713,1,1,"Northeast of Samarra","01/02/2008:  Northeast of Samarra, gunmen dragged two brothers from their shop and shot them in front of passersby. One of the victims, a city official in Samarra, died at the scene.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,1,Business,7,Retail/Grocery/Bakery,Shop,,95,Iraq,2,"Government (General)",18,"Government Personnel (excluding police, military)",,"Samarran city official",95,Iraq,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Kimi Yoshino, “Bomber in Iraq town kills key Sunni,” Los Angeles Times, January 3, 2008, home edition.",,
200801020007,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Wasit,Kut,32.533287,45.829453,1,0,,"01/02/2008:  In the southern city of Kut, Iraqi police said gunmen killed two brothers, one a police officer, the other a soldier, in their home.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Iraqi Police Service (IPS)","Two brothers, one a policeman, the other a soldier.",95,Iraq,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Iraqi Armed Forces",Soldier,95,Iraq,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Solomon Moore, “Attacker Bombs Pro-U.S. Sunnis in Iraq,” New York Times, January 3, 2008, late edition final.","Tikrit Salah-al-Din Satellite Channel, “Announcer-read report,” January 1, 2008.",
200801020008,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/02/2008:  In Baghdad, Yarmouk Hospital said six family members, including five children, were shot to death in their minivan.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Iraqi civilians",,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Solomon Moore, “Attacker Bombs Pro-U.S. Sunnis in Iraq,” New York Times, January 3, 2008, late edition final.",,
