eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801060007,2008,1,6,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/06/2008:  Gunmen with silencers assassinated Sheik Ismael Abass in Baghdad, Iraq.  The Sheik was an organizer of an anti-al-Qaida group.",1,1,1,0,,,0,1,0,1,Assassination,,,,,15,"Religious Figures/Institutions",85,"Religious Figure","Anti-Militant group","Sheik Ismael Abass",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,"The guns had silencers.",,,"Bradley Brooks, "Shiite sheik who was forming an anti-militia group was shot and killed in Baghdad"," Associated Press Worldstream"," January 6"
200801070001,2008,1,7,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/07/2008:  A suicide bomber assassinated Colonel Riyadh al-Samarrai, a leader of an Awakening group in Baghdad, Iraq.  As people rushed to give their aid, a car bomb exploded, killing several people and damaging two trucks into which victims of the first explosion were being loaded. The blasts occurred Monday morning near an Awakening Council office in Baghdad's northern Azamiyah district. The Interior Ministry said the two bombings killed 10 people and wounded 16 while officials at the Numan Hospital in Adhamiya said they had received 6 corpses and had treated 26 wounded people. There is a high chance that the terrorists were part of al-Qaeda as they have repeatedly targeted the Awakening Council for joining the U.S. military's side.",1,1,1,0,,,0,1,1,1,Assassination,,,,,17,"Terrorists/Non-State Militia",94,"Non-State Militia","Sahwa Council","Awakening group colonel.",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,2,0,0,,,,,,,,,,6,Explosives,15,Vehicle,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,"Richard A. Oppel, Jr., "Suicide bomber kills a Sunni leader in Iraq; U.S.-backed militias target of 2 attacks"," The International Herald Tribune"," January 8"
200801080003,2008,1,8,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/08/2008:  Unidentified gunmen shot and killed an officer at the Iraqi Ministry of Interior at around 7 am in his car in the Zafrania neighborhood in east Baghdad, Iraq. His name was Mohammad Aziz al-Gatia.",1,1,1,0,,,0,1,0,1,Assassination,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Iraqi Ministry of Interior","Ministry Officer",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Hussein Kadhim, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 8"
200801080004,2008,1,8,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/08/2008:  Unidentified gunmen shot and killed the deputy of the Mansour tax department in Baghdad, Iraq.",1,1,1,0,,,0,1,0,1,Assassination,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Mansour Tax Department",Deputy,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Hussein Kadhim, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 8"
200801080005,2008,1,8,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/08/2008:  A bomb was planted inside the car of a neighborhood official in Baghdad, Iraq.  The official was killed in the explosion and two others were wounded.",1,1,1,0,,,0,1,0,1,Assassination,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Local Government","Neighborhood Official",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,15,Vehicle,,,,,,,,,,,,,,,,"Hussein Kadhim, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 8"
200801080014,2008,1,8,,0,,122,Maldives,6,"South Asia","Upper North Province",Hoarafushi,6.982233,72.896398,1,0,,"01/08/2008:  An attacker attempted to assassinate the President of Maldives.  The man tried to stab the President in the stomach as the President was greeting people on the Hoarafushi islet during a tour of the nation, but was stopped by a boy scout who wrestled the attacker to the ground.",1,1,1,0,,,0,0,0,1,Assassination,,,,,2,"Government (General)",17,"Head of State","State of Maldives","President of Maldives",122,Maldives,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,1,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,,,,"Mel Gunasekera, "Boy scout saves Maldives president from assassination bid: official"," Agence France Presse"," January 8"
200802150006,2008,2,15,,0,,45,Colombia,3,"South America",Arauca,Arauca,7.08582,-70.75779,1,0,,"02/15/2008:  In Arauca, Columbia, Francisco Delgadillo, the municipal council chief for Saravena, was assassinated inside a local shop.  Police detained the suspected assassin shortly after the incident.  Although rebels of the Revolutionary Armed Forces of Colombia (FARC) continue to plague Columbia, no group claimed responsibility for this attack.  Delgadillo received death threats from unknown persons prior to his assassination.",1,1,1,0,,,0,1,0,1,Assassination,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)","Arauca Municipal Council","Francisco Delgadillo",45,Colombia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,1,0,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,,,"Prior to his assassination, Delgadillo received death threats from unknown persons.","“Colombia: Governor Reports Pro-Uribe Councilman Murdered in Arauca Department,” EFE, February 15, 2008.",,
200802160002,2008,2,16,,0,,182,Somalia,11,"Sub-Saharan Africa",Banaadir,Mogadishu,2.059819,45.326115,1,0,"The incident occurred in Wardhigley district of Mogadishu.","02/16/2008:  In Mogadishu, the presidential residence, Villa Somalia, was fired upon in an unsuccessful assassination attempt on President Abdullahi Yusuf Ahmed, who returned to the residence that day from a scheduled medical check-up in London.  This attack resulted in one reported civilian injury along with property damage in neighborhoods near Villa Somalia, although the presidential residence was not damaged.  Mujahidin Youth Movement (MYM) claimed responsibility for this attack.",1,1,1,0,,,0,0,0,1,Assassination,,,,,2,"Government (General)",17,"Head of State","Somali Transnational Federal Government (TFG)","Somali President Abdullahi Yusuf Ahmed and the presidential residence, Villa Somalia",182,Somalia,,,,,,,,,,,,,,,,,"Mujahideen Youth Movement (MYM)",,,,,,,0,,,0,,0,1,7,"Posted to website, blog, etc.",,,,,,,,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,"“Shells Hit Somali President's Home, Senior Officials Survive assassination,” Beijing Xinhua, February 16, 2008.","Mohamed Olad Hassan, “Mortar attack on Somali president's residence wounds five,” Associated Press Worldstream, February 17, 2008.","“Somalia: MYM Claims Shelling Presidential Palace With Mortars 16 Feb,” Jihadist Websites -- OSC Summary, February 17, 2008."
200802160007,2008,2,16,,0,,205,Thailand,5,"Southeast Asia",Pattani,"Yangdaeng District",6.626886,101.445272,1,0,,"02/16/2008:  At approximately 7:00 p.m. local time, Madori Buraheng, a Muslim town official, was shot and killed while attending services in a mosque in the Thung Yangdaeng District, Pattani Province, Thailand.  There were approximately 40 other Muslims knelt in prayer when the gunman walked in and appeared to participate in the prayers.  He then shot Mr. Buraheng at close range.  Although no group has claimed responsibility for this attack, authorities believe it may have been politically motivated rather than another instance of Muslim insurgency that has plagued this area as well as two other provinces in Thailand.",1,1,1,1,2,"Other Crime Type",0,1,0,1,Assassination,,,,,2,"Government (General)",18,"Government Personnel (excluding police, military)",Civilians,"Madori Buraheng, a Muslim official for the Thung Yangdaeng District",205,Thailand,,,,,,,,,,,,,,,,,Unknown,,,,,,"Authorities believe this attack may have been politically motivated rather than another instance of Muslim insurgency that has plagued this area as well as two other provinces in Thailand.",0,,,0,1,0,0,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,,,"The assailant of this attack fled the scene prior to his capture.","“3 shot dead in Thai southern violence,” Xinhua General News Service, February 16, 2008.","“Gunman kills Muslim politician in mosque attack in restive southern Thailand,” The Associated Press, February 17, 2008.",
200802170008,2008,2,17,,0,,167,Russia,9,"Eastern Europe","Voronezh Oblast",Vorenezh,51.65,39.2,1,0,,"02/17/2008:  An assassination attempt was made on Viktor Vitinnik a Russian mayoral candidate for the city of Voronezh, Russia.  No casualties resulted from this attack and no group claimed responsibility.",1,1,1,0,,,0,0,0,1,Assassination,,,,,14,"Private Citizens & Property",84,"Political Party Member/Rally","Russian mayoral candidate","Viktor Vitinnik, a Russian mayoral candidate for the city of Voronezh, Russia",167,Russia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,0,0,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,,,,"“Russian mayoral candidate survives attempt on his life”, ITAR-TASS, February 17, 2008.","“Daily Crime Report,” RIA Novosti, February 18, 2008.",
