eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801010008,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/01/2008:  A suicide bomber killed at least 36 people and wounded 30 others at a gathering in Baghdad to mourn the death of a retired Shia army officer.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",78,"Procession/Gathering (funeral, wedding, birthday, religious)","Iraqi civilians","Civilians attending the funeral of a slain Shia army officer.",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,0,0,,,,,,,,,,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,,,,"The press was making comparisons to Al-Qa'ida's suicide-bombings of funeral processions in past years.  Many of the victims were members of a Sunni tribal movement known as Awakening Councils.","Solomon Moore, “2nd female bomber hits Sunni tribesmen in Iraq,” The International Herald Tribune, January 3, 2008.","The Australian (Australia), “Suicide bomb at funeral kills 32,” January 3, 2008.","Elena Becatoros, “Death toll from suicide bombing at Baghdad funeral rises to 36,” Associated Press, January 3, 2008."
200801010012,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Diyala,Unknown,33.795979,45.247376,4,0,,"01/01/2008:  In Diyala, nine Iraqi soldiers were wounded when bombs exploded as the soldiers came to reinforce a checkpoint in the province that had been attacked by insurgents.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Iraqi Army",,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,"Conflict in the report location.  One presumes Diyala and the other Salah ad Din.  There is also a difference in terminology for the victims one stating police and the other soldiers.  However, they could be the same incident given the number of wounded and the geographic proximity of the two provinces.","Richard A. Oppel Jr. and Qais Mizher, “Suicide bomber kills 30 in Baghdad; Attacker blows himself up at funeral for victim of earlier killing,” The International Herald Tribune, January 2, 2008.","Voice of America News, “Coalition troops in Iraq kill and capture explosives-planting insurgents,” January 2, 2008.",
200801010013,2008,1,1,,0,,1003,Kosovo,9,"Eastern Europe","Kosovo and Metojia",Dragas,42.059167,20.651159,1,0,,"01/01/2008:  A bomb exploded at the offices of a branch of the Komercijalna Banka, a Serb bank, in the south of Serbia's breakaway province of Kosovo causing considerable damage but no injuries.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,3,Bank/Commerce,Bank,"A branch of the Komercijalna Banka",175,Serbia-Montenegro,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,,"Washington Post, “Serb Bank Damaged by Bomb in Southern Kosovo,” January 3, 2008.","BBC Worldwide Monitoring, “Explosion damages Kosovo town bank building,” SRNA (Bosnian Serb news agency), January 2, 2008.",
200801010016,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Khost,Unknown,33.333847,69.937167,4,0,,"01/01/2008:  Police in Khost killed a would-be suicide bomber who was carrying hand grenades as he tried to enter a police checkpoint.",1,1,1,0,,,0,0,1,3,Bombing/Explosion,,,,,3,Police,24,"Police Checkpoint","Afghani police checkpoint",,4,Afghanistan,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,0,0,,,,,,,,,,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,,"A waistcoat loaded with hand grenades and worn by the attacker was used in the attack.",,,"Rahim Faiez, “19 killed in Afghanistan as violence continues into new year,” Associated Press, January 2, 2008.","Agence France Presse, “At least 16 Taliban killed in Afghanistan: officials,” January 1, 2008.",
200801010017,2008,1,1,,0,,97,Israel,10,"Middle East & North Africa",Southern,Sderot,31.5282,34.596382,1,0,,"01/01/2008:  A joint group of fighters from the National Resistance Brigades of the Democratic Front for the Liberation of Palestine (DFLP) and the Al-Aqsa Brigades of Fatah and the Abu Ali Mustafa Brigades of the Popular Front for the Liberation of Palestine (PFLP), claimed responsibility for firing three homemade projectiles at the Israeli town of Sderot, in western Negev.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",,,Israel,,97,Israel,,,,,,,,,,,,,,,,,"Democratic Front for the Liberation of Palestine (DFLP)",,"Al-Aqsa Martyrs Brigade",,"Popular Front for the Liberation of Palestine (PFLP)",,"The brigades said in a joint statement that the shelling was a natural response to the Israeli atrocities against the Palestinian people.",0,0,0,0,,0,1,9,Other,1,9,Other,1,9,Other,0,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,"BBC Worldwide Monitoring, “Palestinian groups fire at Israeli targets, IDF troops wound West Bank youth,” Ma'an website (Palestinian news agency), January 2, 2008.","United Press International, “Six reported dead in Gaza fighting,” January 2, 2008.",
200801010019,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Logar,"Puli Alam",34.021194,68.999535,1,0,,"01/01/2008:  Taliban fighters fired eight rockets on Pul-i-Alam, capital city of the central Logar province at around 11 pm last night causing no casualties. The rockets hit the outskirts of the city along the mountains. Taliban spokesman Zabihullah Mujahid claimed responsibility for the attack and also claimed that some officers were killed as a result. However, Logar Police Chief Gen. Ghulam Mustafa Muhsini confirmed that there were no casualties.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Afghani civilians",,4,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,1,9,Other,,,,,,,-9,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,"Pajhwok Afghan News, “Rockets fired at Pul-i-Alam cause no casualties,” January 2, 2008.","Tolu Television, “Taleban attack military post in Afghan east,” January 1, 2008.",
200801010020,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Kunduz,"Kala Zal",36.996632,68.434822,1,0,,"01/01/2008:  Taliban insurgents carried out a rocket attack on the house of Police Chief Col. Salih Mohammad of Zal district in the northern Kunduz province.  There were no casualties and the house was partially damaged by the one rocket during that evening.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,3,Police,25,"Police Security Forces/Officers","Afghani police","Police Chief Col. Salih Mohammad",4,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,1,9,Other,,,,,,,-9,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,"The Taliban spokesman claims that several police were killed in the attack.","Pajhwok Afghan News, “Rockets fired at Pul-i-Alam cause no casualties,” January 2, 2008.",,
200801010021,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Kirkuk,Zab,35.271023,43.458084,1,0,,"01/01/2008:  An explosive device went off near an Iraqi army patrol in Zab, wounding three soldiers. The jdsklf of the Al-Fatihin Army (AFA) claimed responsibility for the attack on their website.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Iraqi Army",,95,Iraq,,,,,,,,,,,,,,,,,"Al-Fatihin Army (AFA)","Abu Ayyub al-Ansari Brigade",,,,,Unknown,0,,,0,,0,1,7,"Posted to website, blog, etc.",,,,,,,-9,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,,"Deutsche Presse-Agentur, “Three Iraqi civilians killed in Kirkuk,” January 1, 2008.","Media Department of the Al-Fatihin Army, “Al-Fatihin Army Claims Seven Attacks Against Coalition, Iraqi Forces,” Jihadist websites, January 3, 2008.",
200801010026,2008,1,1,,0,,205,Thailand,5,"Southeast Asia",Narathiwat,"Sungai Kolok district",6.013915,101.950233,1,0,,"01/01/2008:  A total of five bombs exploded at two hotels in Narathiwat's Sungai Kolok municipality in the early hours of January 1, injuring 32 people, two of them critically.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,8,Hotel/Resort,"Riviera and Marina Hotels",,205,Thailand,14,"Private Citizens & Property",71,"Race/Ethnicity Identified",Civilians,"Thai civilians at two hotels in Narathiwat's Sungai Kolok municipality",205,Thailand,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",Civilians,"Civilians at two hotels in Narathiwat's Sungai Kolok municipality",,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,15,Vehicle,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,"Three explosive devices and two explosive devices attached to motorcycles were used in the attack.",,"Three suspects were arrested in connection with explosions - Muhammadsakee Maduereh, 23, Saheh Sa-a, 24, and Asro Mayi, 19.","Thai Press Reports, “Thailand bombs explode at 2 hotels in Narathiwat,”  January 2, 2008.","Agence France Presse, “Millions party, but bombs and security fears cloud New Year,” January 1, 2008.","Angela Doland, “Around the world, revelers greet New Year with fireworks, singing, dancing,” Associated Press, January 1, 2008."
200801020001,2008,1,2,,0,,186,"Sri Lanka",6,"South Asia",Western,Colombo,6.941837,79.861687,1,0,,"01/02/2008:  Suspected Tamil rebels detonated a roadside bomb near a bus carrying wounded soldiers in the heart of Sri Lanka's capital yesterday, killing four people and injuring 24 others.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Sri Lankan military",,186,"Sri Lanka",14,"Private Citizens & Property",,,,,186,"Sri Lanka",,,,,,,,,"Liberation Tigers of Tamil Eelam (LTTE)",,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A roadside bomb was used in the attack.",,"Rebel spokesman Rasiah Ilanthirayan insisted the Tamil Tigers had "nothing to do with"" the blast."","The Advertiser (Australia), “Sri Lanka four killed in blast,” January 3, 2008.","Krishan Francis, “Sri Lanka government pulls out of cease-fire; bomb blast kills 4,” Associated Press, January 3, 2008.","Amal Jayasinghe, “Heavy fighting grips Sri Lanka as truce ends,” Agence France Presse, January 3, 2008."
