eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801010013,2008,1,1,,0,,1003,Kosovo,9,"Eastern Europe","Kosovo and Metojia",Dragas,42.059167,20.651159,1,0,,"01/01/2008:  A bomb exploded at the offices of a branch of the Komercijalna Banka, a Serb bank, in the south of Serbia's breakaway province of Kosovo causing considerable damage but no injuries.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,3,Bank/Commerce,Bank,"A branch of the Komercijalna Banka",175,Serbia-Montenegro,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,,"Washington Post, “Serb Bank Damaged by Bomb in Southern Kosovo,” January 3, 2008.","BBC Worldwide Monitoring, “Explosion damages Kosovo town bank building,” SRNA (Bosnian Serb news agency), January 2, 2008.",
200801010026,2008,1,1,,0,,205,Thailand,5,"Southeast Asia",Narathiwat,"Sungai Kolok district",6.013915,101.950233,1,0,,"01/01/2008:  A total of five bombs exploded at two hotels in Narathiwat's Sungai Kolok municipality in the early hours of January 1, injuring 32 people, two of them critically.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,8,Hotel/Resort,"Riviera and Marina Hotels",,205,Thailand,14,"Private Citizens & Property",71,"Race/Ethnicity Identified",Civilians,"Thai civilians at two hotels in Narathiwat's Sungai Kolok municipality",205,Thailand,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",Civilians,"Civilians at two hotels in Narathiwat's Sungai Kolok municipality",,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,15,Vehicle,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,"Three explosive devices and two explosive devices attached to motorcycles were used in the attack.",,"Three suspects were arrested in connection with explosions - Muhammadsakee Maduereh, 23, Saheh Sa-a, 24, and Asro Mayi, 19.","Thai Press Reports, “Thailand bombs explode at 2 hotels in Narathiwat,”  January 2, 2008.","Agence France Presse, “Millions party, but bombs and security fears cloud New Year,” January 1, 2008.","Angela Doland, “Around the world, revelers greet New Year with fireworks, singing, dancing,” Associated Press, January 1, 2008."
200801020006,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Saladin,Samarra,34.208416,43.890713,1,1,"Northeast of Samarra","01/02/2008:  Northeast of Samarra, gunmen dragged two brothers from their shop and shot them in front of passersby. One of the victims, a city official in Samarra, died at the scene.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,1,Business,7,Retail/Grocery/Bakery,Shop,,95,Iraq,2,"Government (General)",18,"Government Personnel (excluding police, military)",,"Samarran city official",95,Iraq,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Kimi Yoshino, “Bomber in Iraq town kills key Sunni,” Los Angeles Times, January 3, 2008, home edition.",,
200801030008,2008,1,3,,0,,160,Philippines,5,"Southeast Asia",Maguindanao,"Cotabato City",7.209594,124.241966,1,0,,"01/03/2008:  A woman was killed and five others wounded when an improvised bomb exploded at a pub in the southern Philippine city of Cotabato.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,,,Unknown,,160,Philippines,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,"Islamic militants are known to operate in the area, including the separatist Moro Islamic Liberation Front (MILF).","Agence France Presse, “Woman killed, five wounded in Philippine blast: police,” January 3, 2008.","Deutsche Presse-Agentur, “Woman killed, five hurt in grenade blast in southern Philippines,” January 4, 2008.","Philippines News Agency (PNA), “’Bomber’ arrested in Maguindanao,” January 4, 2008."
200801040007,2008,1,4,,0,,209,Turkey,10,"Middle East & North Africa",Malatya,Malatya,38.353182,38.32083,1,0,,"01/04/2008:  Two assailants threw a bomb into a mobile phone shop in Malatya, Turkey.  Two people inside the shop were injured.  Police detained three people based on witness accounts.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,"Mobile Phone Shop",Shoppers,209,Turkey,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,2,3,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"The bomb was a percussion bomb.",,,""Bomb attack injures two in eastern Turkey: report"," Agence France Presse"," January 4"
200801060003,2008,1,6,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/06/2008:  Four improvised explosive devices went off in quick succession in a car sales lot in Baghdad, Iraq, killing one person and injuring four.  The attack was the same day as the celebration of the founding of the Iraqi military.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,"Iraqi used car business","Iraqi Civilians",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"The bombs were improvised explosive devices.",,,"Jamie Gumbrecht and Hussein Khadim, "Suicide bombing hits Iraq military celebration"," Knight Ridder Washington Bureau"," January 6"
200801060010,2008,1,6,,0,,153,Pakistan,6,"South Asia","North-West Frontier Province",Peshawar,34.006004,71.53743,1,0,,"01/06/2008:  A bomb was planted outside a music shop and hair salon in the Sheikh Mohammadi suburb of Peshawar, Pakistan in North West Frontier Province.  The blast destroyed the shops and killed a security guard named Sher Zada at around 4:00 am (2300 GMT). Pro-Taliban militants may be to blame.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,"CD Shop","CD Shop",153,Pakistan,,,,,,,,,,,,,,,,,"Tehrik-i-Taliban Pakistan (TTP)",,,,,,"Pro-Taliban militants have threatened CD shops in Pakistan for putting forth "anti-Islamic"" materials."",1,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,,""One killed in Pakistan blast"," Agence France Presse"," January 6"
200801060022,2008,1,6,,0,,153,Pakistan,6,"South Asia","North-West Frontier Province",Daggar,34.510892,72.484518,1,0,,"01/06/2008:  Unidentified militants placed an explosive device near a CD shop in Daggar, Pakistan.  The bomb destroyed the CD shop and damaged 17 other shops.  No one was injured.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,"CD shops","CD shop",153,Pakistan,,,,,,,,,,,,,,,,,Unknown,,,,,,"Pro-Taliban militants have threatened CD shops in Pakistan for putting forth "anti-Islamic"" materials."",0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,,""Blast Destroys 18 Shops in Buner"," Daily Times"," January 8"
200801070011,2008,1,7,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/07/2008:  Two improvised explosive devices exploded near an ice cream shop and the University of Baghdad in the Jadriyah neighborhood of Baghdad, Iraq.  One person was injured.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,2,Restaurant/Bar/Café,"Iraqi ice cream shop and university of Baghdad.",Civilians,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"The bombs were improvised explosive devices.",,,"Laith Hammoudi, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 7"
200801070012,2008,1,7,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/07/2008:  An improvised explosive device exploded inside a car near a restaurant in the Karrada neighborhood of Baghdad, Iraq.  One person was injured.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,,,"Iraqi civilians",Civilians,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,15,Vehicle,,,,,,,,,,,,,"The bomb was an improvised explosive device",,,"Laith Hammoudi, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 7"
