eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801010008,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/01/2008:  A suicide bomber killed at least 36 people and wounded 30 others at a gathering in Baghdad to mourn the death of a retired Shia army officer.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",78,"Procession/Gathering (funeral, wedding, birthday, religious)","Iraqi civilians","Civilians attending the funeral of a slain Shia army officer.",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,0,0,,,,,,,,,,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,,,,"The press was making comparisons to Al-Qa'ida's suicide-bombings of funeral processions in past years.  Many of the victims were members of a Sunni tribal movement known as Awakening Councils.","Solomon Moore, “2nd female bomber hits Sunni tribesmen in Iraq,” The International Herald Tribune, January 3, 2008.","The Australian (Australia), “Suicide bomb at funeral kills 32,” January 3, 2008.","Elena Becatoros, “Death toll from suicide bombing at Baghdad funeral rises to 36,” Associated Press, January 3, 2008."
200801010017,2008,1,1,,0,,97,Israel,10,"Middle East & North Africa",Southern,Sderot,31.5282,34.596382,1,0,,"01/01/2008:  A joint group of fighters from the National Resistance Brigades of the Democratic Front for the Liberation of Palestine (DFLP) and the Al-Aqsa Brigades of Fatah and the Abu Ali Mustafa Brigades of the Popular Front for the Liberation of Palestine (PFLP), claimed responsibility for firing three homemade projectiles at the Israeli town of Sderot, in western Negev.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",,,Israel,,97,Israel,,,,,,,,,,,,,,,,,"Democratic Front for the Liberation of Palestine (DFLP)",,"Al-Aqsa Martyrs Brigade",,"Popular Front for the Liberation of Palestine (PFLP)",,"The brigades said in a joint statement that the shelling was a natural response to the Israeli atrocities against the Palestinian people.",0,0,0,0,,0,1,9,Other,1,9,Other,1,9,Other,0,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,"BBC Worldwide Monitoring, “Palestinian groups fire at Israeli targets, IDF troops wound West Bank youth,” Ma'an website (Palestinian news agency), January 2, 2008.","United Press International, “Six reported dead in Gaza fighting,” January 2, 2008.",
200801010019,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Logar,"Puli Alam",34.021194,68.999535,1,0,,"01/01/2008:  Taliban fighters fired eight rockets on Pul-i-Alam, capital city of the central Logar province at around 11 pm last night causing no casualties. The rockets hit the outskirts of the city along the mountains. Taliban spokesman Zabihullah Mujahid claimed responsibility for the attack and also claimed that some officers were killed as a result. However, Logar Police Chief Gen. Ghulam Mustafa Muhsini confirmed that there were no casualties.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Afghani civilians",,4,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,1,9,Other,,,,,,,-9,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,"Pajhwok Afghan News, “Rockets fired at Pul-i-Alam cause no casualties,” January 2, 2008.","Tolu Television, “Taleban attack military post in Afghan east,” January 1, 2008.",
200801010024,2008,1,1,,0,,92,India,6,"South Asia","West Bengal","Purulia district",23.332078,86.365208,3,0,,"01/01/2008:  Leftist guerrillas shot dead Pahalan Kumar Majhi in Purulia district after the insurgents dragged him out of his home.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",84,"Political Party Member/Rally","Communist Party of India-Marxist (CPI-M)","Pahalan Kumar Majhi",92,India,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"Police suspect Maoist guerrillas for the attack.","Indo-Asian News Service, “Maoists kill two CPI-M men in West Bengal,”  HT Syndication, January 2, 2008.","The Statesman (India), “Maoists mow down 2 CPM leaders,” January 3, 2008.",
200801020003,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Diyala,Muqdadiyah,33.953167,44.921906,1,0,,"01/02/2008:  In Muqdadiya, gunmen killed six people and wounded three.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Iraqi Civilians",,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Solomon Moore, “Attacker Bombs Pro-U.S. Sunnis in Iraq,” New York Times, January 3, 2008, late edition final.",,
200801020008,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/02/2008:  In Baghdad, Yarmouk Hospital said six family members, including five children, were shot to death in their minivan.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Iraqi civilians",,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Solomon Moore, “Attacker Bombs Pro-U.S. Sunnis in Iraq,” New York Times, January 3, 2008, late edition final.",,
200801020015,2008,1,2,,0,,209,Turkey,10,"Middle East & North Africa",Istanbul,Istanbul,41.106178,28.689863,1,0,,"01/02/2008:  An explosion in Turkey's commercial Kucukcekmece district of Istanbul injured three people. No one claimed responsibility.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Turkish civilians",,209,Turkey,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,,"Associated Press Online, “Report: Blast in Turkey Causes Injuries,” January 2, 2008.","Agence France Presse, “Blast injures three in Istanbul: report,” January 2, 2008.",
200801030003,2008,1,3,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/03/2008:  In the Shiite-dominated New Baghdad neighborhood in the eastern part of the city, two street sweepers were killed when a roadside bomb exploded around 7 a.m., police said. At least four others were wounded in the incident.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified",Civilians,"Street sweepers",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A roadside bomb was used in the attack.",,,"Hamza Hendawi, “Top Shiite politician delivers subtle, but scathing criticism of government,” Associated Press, January 3, 2008.","Sahar Issa, “Roundup of violence in Iraq,” McClatchy-Tribune News Service, January 3, 2008.",
200801030004,2008,1,3,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/03/2008:  One woman was killed and another civilian wounded when a rocket slammed into the primarily Shiite neighborhood of Washash in northwest Baghdad, police said. At least two houses were damaged.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Iraqi civilians",,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,"Hamza Hendawi, “Top Shiite politician delivers subtle, but scathing criticism of government,” Associated Press, January 3, 2008.","Xinhua General News Service, “Three Iraqis killed in Baghdad bombings,” January 3, 2008.",
200801030011,2008,1,3,,0,,97,Israel,10,"Middle East & North Africa",Southern,Sderot,31.5282,34.596382,1,0,,"01/03/2008:  A katyusha rocket from Gaza at southern Israel struck the back yard of a house in the town of Sderot, the army said. No casualties were reported.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,"Private Citizens & Property",76,House/Apartment/Residence,"Israeli Civilians","House in Cederot",97,Israel,,,,,,,,,,,,,,,,,"Hamas (Islamic Resistance Movement)",,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,"Adel Zaanoun, “Nine killed in new Israeli blitz on Gaza,” Agence France Presse, January 3, 2008.","Steven Erlanger, “Israelis kill 9 in raids into Gaza ; Katyusha fired by Palestinians shows rocket's longer range,” The International Herald Tribune, January 4, 2008.","The Irish Times, “Bush warns over Israeli settlement expansion,” Reuters, January 4, 2008."
