eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801010023,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Paktia,Unknown,33.545773,69.550887,4,0,"Event occurred somewhere along the Gardiz-Khost highway.","01/01/2008:  Taliban insurgents claim torching five vehicles supposedly carrying logistic supplies to the foreign forces stationed in the southeastern Paktia province.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,4,Military,37,NATO,"North Atlantic Treaty Organization (NATO): International Security Assistance Force (ISAF)","Supply vehicles",422,International,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,1,9,Other,,,,,,,-9,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,"The Taliban spokesman claims that 5 trucks were destroyed in the attack.","Pajhwok Afghan News, “Taliban claim torching five vehicles in Paktia,” January 1, 2008.",,
200801050006,2008,1,5,,0,,153,Pakistan,6,"South Asia","Federally Administered Tribal Areas",Jandola,32.333344,70.128281,1,0,,"01/05/2008:  Taliban militants attacked with gunfire at a military checkpoint in the Jandola Frontier Region of the Tank district in northwest Pakistan.  Tehrik-i-Taliban Pakistan warned the government that they would attack military and government installations if the government did not meet a two day deadline to pull troops out of the Swat Valley which they did not. There were undescribed amounts of damage and death tolls.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,7,"Facility/Infrastructure Attack",,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Pakistani Armed Forces",Soldiers,153,Pakistan,,,,,,,,,,,,,,,,,"Tehrik-i-Taliban Pakistan (TTP)",,,,,,"The militants gave security forces a two-day deadline to get out of the area before attacks ensued.  The military did not meet the deadline.",0,,,0,,0,1,2,"Call (post-incident)",,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Alamgir Bhettani, "Army picket attacked"," Dawn"," January 6"
200801050016,2008,1,5,,0,,92,India,6,"South Asia",Orissa,"Sambalpur district",21.466872,83.981166,3,0,,"01/05/2008:  Twenty armed Maoists burned down a forest range office in Orissa, India.  They also destroyed seven jeeps, four motorcycles, and files in the offices.  They stole cash and belongings from the forester's home.  They beat up six forest guards.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,2,"Government (General)",21,"Government Building/Facility/Office","Forest Range",Office,92,India,,,,,,,,,,,,,,,,,"Communist Party of India - Maoist (CPI-Maoist)",,,,,,Unknown,1,,,0,20,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,13,Unknown,,,,,,,,,,,,,,""Maoists Torch Forest Range Office in Orissa"," Beat up Guards"," The Times of India"
200801060019,2008,1,6,,0,,153,Pakistan,6,"South Asia","North-West Frontier Province",Kohat,33.590603,71.44062,1,0,,"01/06/2008:  Militants set the Pakistan State Oil storage facility on fire by shooting at it in Kohat, Pakistan on Sunday night.  The storage facility had several thousands of gallons of oil burnt. The terrorists fired three shots at the godown where oil was stored in open containers and in small drums. There were no recorded deaths or injuries and no exact description of the terrorists.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,21,Utilities,108,Oil,"Pakistan State Oil","Local Storage Facility",153,Pakistan,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,""Militants Destroy Oil Depot in Kohat"," Dawn"," January 7"
200802050002,2008,2,5,,0,,217,"United States",1,"North America",California,"Los Angeles",34.097866,-118.407379,1,0,,"02/05/2008:  UCLA professor Edythe London’s home was set on fire by suspected activists, causing property damage but resulting in no casualties. The Animal Liberation Fron (ALF) later claimed responsibility for the attack.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,8,"Educational Institution",49,"School/University/Educational Building","UCLA David Geffen School of Medicine","Edythe London residence",217,"United States",,,,,,,,,,,,,,,,,"Animal Liberation Front (ALF)",,,,,,Unknown,1,,,0,,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"Julia Erlandson, “UCLA researcher’s house targeted again,” University Wire, Feb 06, 2008.","“Fire set at home of UCLA professor,” UPI, Feb 06, 2008.",
200802090004,2008,2,9,,0,,217,"United States",1,"North America",Tennessee,Columbia,35.615725,-87.035447,1,0,,"02/09/2008:  Three men fire-bombed a mosque in Columbia, Tennessee. The messages ‘White power’ and ‘we run the world’, as well as a swastika, were sprayed on the walls. No groups have claimed responsibility for the attack.",1,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","Islamic Mosque","Islamic Center of Columbia",217,"United States",,,,,,,,,,,,,,,,,"Neo-Nazi extremists",,,,,,Unknown,0,,,0,3,3,-9,,,,,,,,,-9,8,Incendiary,20,"Gasoline or Alcohol",,,,,,,,,,,,,"Fire was set using gasoline, rags and empty beer bottles.",,"The phrases "white power"" and ""we run the country"" written by the perpetrators imply a specific motive"," but authorities are uncertain whether or not the act constitutes a hate crime."","Kristin M. Hall, “3 men face federal charges in burning down mosque,” The Associated Press State & Local Wire, Feb 12, 2008.","“Arrests made in Tenn. mosque fire,” UPI, Feb 11, 2008."
200802170007,2008,2,17,,0,,217,"United States",1,"North America",California,Eureka,40.802071,-124.163673,1,0,"Two fires started in the front and rear of the clinic.","2/17/2008: Unknown perpetrators ignited two fires within the Six Rivers Planned Parenthood in Eureka, California, United States.  There were no casualties and the abortion clinic only sustained $50 in damages.  Biblical scriptures were taped to the front door of the facility.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,5,"Abortion Related",40,Clinics,"Planned Parenthood","Six Rivers Planned Parenthood",217,"United States",,,,,,,,,,,,,,,,,"Anti-Abortion extremists",,,,,,"To protest the practice of abortion and to sabotage abortion facilities operating in California.",0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,20,"Gasoline or Alcohol",,,,,,,,,,,,,"Fire ignited with a flammable fluid",,"The fire was first reported at 1:15 PM.  The attack caused no disruptions to operations at the abortion clinic.","Ryan Burns, "Planned Parenthood Set on Fire in Apparent Hate Crime"," Times-Standard"," February 18"
200802170011,2008,2,17,,0,,217,"United States",1,"North America",California,Eureka,40.802071,-124.163673,1,0,,"02/17/2008:  Unknown perpetrators set two small fires at a Planned Parenthood facility in Six Rivers, California.  The facility was closed at the time, and there were no casualties and only minor property damage.  No group claimed responsibility for this attack.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,5,"Abortion Related",40,Clinics,"Planned Parenthood Federation of America, Inc.","Planned Parenthood facility",217,"United States",,,,,,,,,,,,,,,,,"Anti-Abortion extremists",,,,,,,0,,,0,,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"Karen Wilkinson, “Security tightens at Planned Parenthood,” Eureka Times Standard, February 20, 2008.","Ryan Burns, “Planned Parenthood set on fire in apparent hate crime,” Eureka Times Standard, February 17, 2008.",
200802210008,2008,2,21,,0,,78,Greece,8,"Western Europe",Attica,Athens,37.99749,23.762728,1,0,,"02/21/2008:  An anarchist group named Conspiracy of Cells of Fire claimed responsibility for committing 13 separate arson attacks with homemade explosives (which contained small propane canisters) throughout Attica, Greece on Thursday between 2:00 a.m. and 2:10 a.m. In this incident, the offices of the Ethniki Asfalistiki insurance company (a subsidiary of the National Bank of Greece) in Kato Halandri were attacked.  It was unclear if there were any casualties.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,3,Bank/Commerce,Business,"The offices of the Ethniki Asfalistiki insurance company (a subsidiary of the National Bank of Greece)",78,Greece,,,,,,,,,,,,,,,,,"Conspiracy of Cells of Fire",,,,,,,0,,,0,,0,1,2,"Call (post-incident)",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"“Anarchists claim responsibility for arson,” UPI, February 22, 2008.","“Greece: Barrage of Arsons Against Banks, Cars in Athens,” Athens News Agency, February 21, 2008.",
200802210009,2008,2,21,,0,,78,Greece,8,"Western Europe",Attica,Athens,37.99749,23.762728,1,0,,"02/21/2008:  An anarchist group named Conspiracy of Cells of Fire claimed responsibility for committing 13 separate arson attacks with homemade explosives (which contained small propane canisters) throughout Attica, Greece on Thursday between 2:00 a.m. and 2:10 a.m.  In this incident, a branch of Proton Bank in downtown Athens was attacked.  It was unclear if there were any casualties.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,3,Bank/Commerce,Business,"A Proton Bank branch",78,Greece,,,,,,,,,,,,,,,,,"Conspiracy of Cells of Fire",,,,,,,0,,,0,,0,1,2,"Call (post-incident)",,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"“Anarchists claim responsibility for arson,” UPI, February 22, 2008.","“Greece: Barrage of Arsons Against Banks, Cars in Athens,” Athens News Agency, February 21, 2008.",
