eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801010012,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Diyala,Unknown,33.795979,45.247376,4,0,,"01/01/2008:  In Diyala, nine Iraqi soldiers were wounded when bombs exploded as the soldiers came to reinforce a checkpoint in the province that had been attacked by insurgents.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Iraqi Army",,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,"Conflict in the report location.  One presumes Diyala and the other Salah ad Din.  There is also a difference in terminology for the victims one stating police and the other soldiers.  However, they could be the same incident given the number of wounded and the geographic proximity of the two provinces.","Richard A. Oppel Jr. and Qais Mizher, “Suicide bomber kills 30 in Baghdad; Attacker blows himself up at funeral for victim of earlier killing,” The International Herald Tribune, January 2, 2008.","Voice of America News, “Coalition troops in Iraq kill and capture explosives-planting insurgents,” January 2, 2008.",
200801010018,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Parwan,"Kohi Safi district",34.759444,69.471667,3,0,,"01/01/2008:  One army soldier was killed and another wounded when their convoy was ambushed by a group of militants in the Kohe Safi area of the north-eastern province of Parwan.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,2,"Armed Assault",,,,,4,Military,29,"Military Unit/Patrol/Convoy","Afghan National Army (ANA)",Convoy,4,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"The two reports conflict on persons killed (1 or 2), and the province location (Parwan or Kabul).","Deutsche Presse-Agentur, “At least 23 killed in Afghan violence,” January 2, 2008.","Radio Afghanistan, “Home news,” January 2, 2008.",
200801010021,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Kirkuk,Zab,35.271023,43.458084,1,0,,"01/01/2008:  An explosive device went off near an Iraqi army patrol in Zab, wounding three soldiers. The jdsklf of the Al-Fatihin Army (AFA) claimed responsibility for the attack on their website.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Iraqi Army",,95,Iraq,,,,,,,,,,,,,,,,,"Al-Fatihin Army (AFA)","Abu Ayyub al-Ansari Brigade",,,,,Unknown,0,,,0,,0,1,7,"Posted to website, blog, etc.",,,,,,,-9,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,,,,"Deutsche Presse-Agentur, “Three Iraqi civilians killed in Kirkuk,” January 1, 2008.","Media Department of the Al-Fatihin Army, “Al-Fatihin Army Claims Seven Attacks Against Coalition, Iraqi Forces,” Jihadist websites, January 3, 2008.",
200801010023,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Paktia,Unknown,33.545773,69.550887,4,0,"Event occurred somewhere along the Gardiz-Khost highway.","01/01/2008:  Taliban insurgents claim torching five vehicles supposedly carrying logistic supplies to the foreign forces stationed in the southeastern Paktia province.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,4,Military,37,NATO,"North Atlantic Treaty Organization (NATO): International Security Assistance Force (ISAF)","Supply vehicles",422,International,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,1,9,Other,,,,,,,-9,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,"The Taliban spokesman claims that 5 trucks were destroyed in the attack.","Pajhwok Afghan News, “Taliban claim torching five vehicles in Paktia,” January 1, 2008.",,
200801020001,2008,1,2,,0,,186,"Sri Lanka",6,"South Asia",Western,Colombo,6.941837,79.861687,1,0,,"01/02/2008:  Suspected Tamil rebels detonated a roadside bomb near a bus carrying wounded soldiers in the heart of Sri Lanka's capital yesterday, killing four people and injuring 24 others.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Sri Lankan military",,186,"Sri Lanka",14,"Private Citizens & Property",,,,,186,"Sri Lanka",,,,,,,,,"Liberation Tigers of Tamil Eelam (LTTE)",,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A roadside bomb was used in the attack.",,"Rebel spokesman Rasiah Ilanthirayan insisted the Tamil Tigers had "nothing to do with"" the blast."","The Advertiser (Australia), “Sri Lanka four killed in blast,” January 3, 2008.","Krishan Francis, “Sri Lanka government pulls out of cease-fire; bomb blast kills 4,” Associated Press, January 3, 2008.","Amal Jayasinghe, “Heavy fighting grips Sri Lanka as truce ends,” Agence France Presse, January 3, 2008."
200801020009,2008,1,2,,0,,4,Afghanistan,6,"South Asia",Khost,Unknown,33.333847,69.937167,4,0,"On the border with Pakistan","01/02/2008:  An ISAF soldier and an Afghan interpreter were killed while two other ISAF soldiers were injured in a bomb explosion in the southeastern province of Khost on the border with Pakistan around 2 pm.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,37,NATO,NATO,"International Security Assistance Force (ISAF)",999,Multinational,14,"Private Citizens & Property",,,,,4,Afghanistan,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A roadside bomb was used in the attack.",,,"Michael Evans, “Higher opium yields 'will fuel Taliban insurgency’,” The Times (London), January 3, 2008.","Nasrat Shoaib, “Indian engineer, Afghan cops killed in suicide attack: official,” Agence France Presse, January 3, 2008.","Pajhwok Afghan News, “NATO suffers first New Year casualty in Khost,” January 2, 2008."
200801020011,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/02/2008:  A soldier was killed in south Baghdad when his dismounted patrol hit a roadside bomb.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Multi-National Force – Iraq (MNF-I)",Patrol,217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A roadside bomb was used in the attack.",,,"Bradley Brooks, “Rival Shiites in Iraq Try to Make Peace,” Associated Press Online, January 3, 2008.","Agence France Presse, “Three US soldiers killed in Iraq,” January 3, 2008.",
200801020017,2008,1,2,,0,,97,Israel,10,"Middle East & North Africa",Southern,Kissufim,31.374899,34.398018,1,0,,"01/02/2008:  The Isma'il al-Sa'idani unit of the Abu-Ali Mustafa Brigades, the military wing of the Popular Front for the Liberation of Palestine, claimed responsibility for firing four 80-mm mortars at the Kissufim military post, east of Al-Qararah in the southern Gaza Strip.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,27,"Military Barracks/Base/Headquarters/Checkpost","Israeli military post",,97,Israel,,,,,,,,,,,,,,,,,"Popular Front for the Liberation of Palestine (PFLP)",,,,,,"The statement issued said, "We guarantee our public and martyrs that we will continue to walk the path of resistance until we achieve all the goals for which they gave their lives."""",0,,,0,,0,1,1,Letter,,,,,,,-9,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,,"BBC Worldwide Monitoring, “Palestinian groups fire at Israeli targets, IDF troops wound West Bank youth,” Ma'an website (Palestinian news agency), January 2, 2008.",,
200801030001,2008,1,3,,0,,186,"Sri Lanka",6,"South Asia","North Central",Yakawewa,8.726075,80.674999,1,0,,"01/03/2008:  A mine blast that struck an army truck transporting food in Yakawetunuwewa , a small village about 270 kilometers north-east of Colombo northern Sri Lanka, on Yakawewa-Padaviya main road killed two soldiers and wounded three. The government suspects the LTTE to be responsible though no one has claimed responsibility.",1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Sri Lankan military",,186,"Sri Lanka",,,,,,,,,,,,,,,,,"Liberation Tigers of Tamil Eelam (LTTE)",,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,8,Landmine,,,,,,,,,,,,,,,"The LTTE is suspected in the incident although it did not claim responsibility on its website.  The government has withdrawn from the cease-fire and resumed the Sri Lankan civil war.","Krishan Francis, “Sri Lanka government pulls out of cease-fire; blasts kill 6,” Associated Press, January 3, 2008.","Amal Jayasinghe, “Heavy fighting grips Sri Lanka as truce ends,” Agence France Presse, January 3, 2008.","Deutsche Presse-Agentur, “Two Sri Lankan soldiers killed in mine explosion,” January 3, 2008."
200801030005,2008,1,3,,0,,209,Turkey,10,"Middle East & North Africa",Diyarbakir,Diyarbakir,37.922218,40.184376,1,0,,"01/03/2008:  A car bomb targeting soldiers killed five people including two soldiers and wounded 68 in the Kurdish-dominated southeastern city of Diyarbakir in southern Turkey at about 5pm. A bus carrying about 50 soldiers on their way back to base blew up in a parking lot between a hotel and shopping mall when suspected Kurdish rebels of the Kurdish Workers Party (or PKK) detonated a remote-controlled car bomb inside a parked car. The attack damaged nearby buildings. It is suspected that the attack was in retaliation for three airstrikes by Turkish warplanes against Kurdish rebel shelters in northern Iraq last month.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Turkish soldiers",,209,Turkey,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",,,209,Turkey,,,,,,,,,"Kurdistan Workers' Party (PKK)",,,,,,"Appeared to be in retaliation for three airstrikes by Turkish warplanes against Kurdish rebel shelters in northern Iraq last month",0,,,0,,0,0,,,,,,,,,,6,Explosives,15,Vehicle,,,,,,,,,,,,,,,,"Selcan Hacaoglu, “4 killed, 68 wounded by car bomb in southeastern Turkey,” Associated Press, January 3, 2008.","United Press International, “Five dead in bombing in Turkey,” January 3, 2008.","Voice of America News, “Blast Kills 5 in Mainly Kurdish City in Turkey,” January 3, 2008."
