eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801010003,2008,1,1,,0,,92,India,6,"South Asia","Uttar Pradesh",Rampur,25.47283,82.570528,1,0,,"01/01/2008:  Between 3-5 men with guns and grenades ambushed the Central Reserve Police Force recruitment centre  in the northern state of Uttar Pradesh in India early yesterday (Tuesday), in an attack that killed seven police officers and one rickshaw puller. The men opened fire at the centre located in Rampur over 250 kilometers north-west of state capital Lucknow at about 2:20 am. After they shot and killed two police officers and the rickshaw puller, the men threw a grenade over the gate of the centre which killed 5 more officers. Five reserve officers and two constables from the state police were also injured in the gun battle.  No group has claimed responsibility but it is suspected that the Islamic militant group Lashkar-e-Taiba are the attackers. They were not captured.",crit1,1,1,0,,,0,1,0,2,"Armed Assault",3,Bombing/Explosion,,,3,Police,22,"Police Building (headquarters, station, school)","Indian police forces","Police recruiting center",92,India,,,,,,,,,,,,,,,,,"Lashkar-e-Taiba (LeT)",,,,,,Unknown,0,,,0,2,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",6,Explosives,7,Grenade,,,,,,,,,,,"Authorities intercepted some phone calls which indicate that terror groups like Lashkar-e-Toiba are involved in the operation while groups like Harkat-ul-Jihad-e-Islami have lent it logistical support.","The Advertiser (Australia), “Eight die in police centre raid,” January 2, 2008.","United Press International, “Indian police clueless over terror strike,” January 3, 2008.","Bisawajeet Banerjee, “7 police officers, 1 civilian killed in attack at recruitment center in northern India,” Associated Press, January 1, 2008."
200801010005,2008,1,1,,0,,147,Nigeria,11,"Sub-Saharan Africa",Rivers,"Port Harcourt",4.815554,7.049844,1,0,,"01/01/2008:  Suspected militants attacked two police stations, a luxury hotel and a night club in Nigeria's oil city Port Harcourt yesterday leaving 18 people dead.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,,,"Nigerian police",,147,Nigeria,1,Business,,,,,147,Nigeria,,,,,,,,,"Niger Delta Vigilante (NDV)",,,,,,"Believed to have been a response to strikes by the Nigerian military on the headquarters of the Niger Delta Vigilante in the town of Okrika.",0,,,0,,0,1,2,"Call (post-incident)",,,,,,,-9,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"The Advertiser (Australia), “Nigeria 13 dead in raids,” January 3, 2008.","Ufford Wilson, “Militia raids on hotel lobby, police stations kill 13 in Nigerian oil city,” Associated Press, January 1, 2008.","Lydia Polgreen, “Gang blamed as 10 are killed in attacks at Nigerian oil port,” New York Times, January 2, 2008, late edition final."
200801010009,2008,1,1,,0,,95,Iraq,10,"Middle East & North Africa",Saladin,Balad,34.010471,44.148235,1,0,,"01/01/2008:  An ambush in Salahuddin province killed one Iraqi police officer and injured six others, including the Salam Iraqi police commander. The report added that three Iraqi National Police officers also were injured in the attack.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Iraqi Police Service (IPS)",Officers,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"CQ Federal Department and Agency Documents, “Troops kill 2, capture 21 in Iraq,” January 3, 2008.","Voice of America News, “Coalition Troops in Iraq Kill and Capture Explosives-Planting Insurgents,” January 2, 2008.","Deutsche Presse-Agentur, “Suicide bombing kills five in Baghdad,” January 1, 2008."
200801010015,2008,1,1,,0,,92,India,6,"South Asia",Bihar,"Munger district",25.197613,86.540267,3,0,,"01/01/2008:  Suspected Maoist rebels shot dead four policemen in the state of Bihar.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,,,"Indian police",,92,India,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"Authorities suspect Maoist rebels.","Biswajeet Banerjee, “12 killed in 2 separate ambushes on security personnel in India,” Associated Press, January 1, 2008.","Indo-Asian News Service, “Maoists kill four policemen,” HT Syndication, January 1, 2008.",
200801010016,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Khost,Unknown,33.333847,69.937167,4,0,,"01/01/2008:  Police in Khost killed a would-be suicide bomber who was carrying hand grenades as he tried to enter a police checkpoint.",1,1,1,0,,,0,0,1,3,Bombing/Explosion,,,,,3,Police,24,"Police Checkpoint","Afghani police checkpoint",,4,Afghanistan,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,0,0,,,,,,,,,,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,,"A waistcoat loaded with hand grenades and worn by the attacker was used in the attack.",,,"Rahim Faiez, “19 killed in Afghanistan as violence continues into new year,” Associated Press, January 2, 2008.","Agence France Presse, “At least 16 Taliban killed in Afghanistan: officials,” January 1, 2008.",
200801010020,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Kunduz,"Kala Zal",36.996632,68.434822,1,0,,"01/01/2008:  Taliban insurgents carried out a rocket attack on the house of Police Chief Col. Salih Mohammad of Zal district in the northern Kunduz province.  There were no casualties and the house was partially damaged by the one rocket during that evening.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,3,Police,25,"Police Security Forces/Officers","Afghani police","Police Chief Col. Salih Mohammad",4,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,1,9,Other,,,,,,,-9,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,"The Taliban spokesman claims that several police were killed in the attack.","Pajhwok Afghan News, “Rockets fired at Pul-i-Alam cause no casualties,” January 2, 2008.",,
200801010022,2008,1,1,,0,,4,Afghanistan,6,"South Asia",Badghis,"Murghab district",35.640348,63.309294,3,0,,"01/01/2008:  Taliban fighters had carried out an attack on a police checkpoint in the border Mangan area of Balamorghab district of the province.  A police vehicle was damaged, one policeman was killed and two others were wounded.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Afghani police",,4,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,Unknown,0,,,0,,0,1,9,Other,,,,,,,-9,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,"The Taliban spokesman claims that 11 police were killed in the attack and two vehicles stolen.","Pajhwok Afghan News, “10 Taliban, policeman killed in Badghis clash,” January 1, 2008.","BBC Monitoring, “Press selection list for Afghan newspapers 2Jan08,” Pagah (independent daily), January 2, 2008.",
200801020004,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/02/2008:  In eastern Baghdad, a roadside bomb targeting a police patrol in the city's Shaab neighborhood (possibly Zayouna neighborhood) wounded six people, including three police officers. The bomb was planted by unidentified persons.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,3,Police,25,"Police Security Forces/Officers","Iraqi Police Service (IPS)",Patrol,95,Iraq,14,"Private Citizens & Property",,,,,95,Iraq,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"A roadside bomb was used in the attack.",,,"Kimi Yoshino, “Bomber in Iraq town kills key Sunni,” Los Angeles Times, January 3, 2008, home edition.","Solomon Moore, “2nd female bomber hits Sunni tribesmen in Iraq,” The International Herald Tribune, January 3, 2008.","Elena Becatoros, “Death toll from suicide bombing at Baghdad funeral rises to 36,” Associated Press, January 2, 2008."
200801020007,2008,1,2,,0,,95,Iraq,10,"Middle East & North Africa",Wasit,Kut,32.533287,45.829453,1,0,,"01/02/2008:  In the southern city of Kut, Iraqi police said gunmen killed two brothers, one a police officer, the other a soldier, in their home.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Iraqi Police Service (IPS)","Two brothers, one a policeman, the other a soldier.",95,Iraq,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","Iraqi Armed Forces",Soldier,95,Iraq,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,"Solomon Moore, “Attacker Bombs Pro-U.S. Sunnis in Iraq,” New York Times, January 3, 2008, late edition final.","Tikrit Salah-al-Din Satellite Channel, “Announcer-read report,” January 1, 2008.",
200801020010,2008,1,2,,0,,6,Algeria,10,"Middle East & North Africa",Boumerdes,Naciria,36.745632,3.830243,1,0,,"01/02/2008:  In an apparent attempt of a suicide bombing, a car bomb exploded near the Naciria police station in a town east of Algiers, killing at least four officers and injuring 20 other people. The explosion caused severe damage to the police station while also damaging some nearby buildings as well. It was reported that Al Qaeda's North Africa branch claimed responsibility for the attack. The claim, however, was not confirmed with Algerian officials.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,3,Police,,,"Algerian police",,6,Algeria,14,"Private Citizens & Property",,,,,6,Algeria,,,,,,,,,"Al-Qaida in the Islamic Maghreb (AQIM)",,,,,,"The statement justified the attack by saying security forces in Algeria "torture Muslim youth and shove them into dark prisons while waging war on jihad and the mujahedeen on behalf of their masters in the Elysee Palace and the White House."""",0,,,0,1,0,1,7,"Posted to website, blog, etc.",,,,,,,-9,6,Explosives,15,Vehicle,,,,,,,,,,,,,,,"Al-Qa'ida in Islamic North Africa emerged from an alliance between Osama bin Laden's international terrorist network and an Algerian Islamist movement known as the Salafist Group for Call and Combat.  It is this group that claimed responsibility for the attack.","Hassane Meftahi, “Car bomb explodes near police station in Algeria, killing 4 officers,” Associated Press, January 3, 2008.","Los Angeles Times, “4 policemen killed in car bombing,” January 3, 2008, home edition.","Agence France Presse, “Qaeda claims Algeria police bombing: SITE,” January 3, 2008."
