eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
200801040008,2008,1,4,,0,,4,Afghanistan,6,"South Asia",Khost,Khost,33.335258,69.928467,1,0,,"01/04/2008:  Rockets were fired at a school building in Khost City, Afghanistan.  The explosions caused damage to a classroom and two generators but no casualties.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,"Educational Institution",49,"School/University/Educational Building","Khost Educational Facilities","School Building",4,Afghanistan,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,,"The Taliban spokesman denied that the Taliban had anything to do with the attack.",""School building attacked"," three held in Khost"," Pajhwok Afghan News"
200801070010,2008,1,7,,0,,95,Iraq,10,"Middle East & North Africa",Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/07/2008:  An improvised explosive device planted near the Technology University in Baghdad, Iraq, detonated, killing three people and injuring sixteen.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,"Educational Institution",49,"School/University/Educational Building","Iraqi civilians",Civilians,95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,16,"Unknown Explosive Type",,,,,,,,,,,,,"The bomb was an improvised explosive device",,,"Laith Hammoudi, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," January 7"
200801070018,2008,1,7,,0,,153,Pakistan,6,"South Asia","North-West Frontier Province",Kabal,34.79216,72.284279,1,0,,"01/07/2008:  A suicide bomber in a pick-up truck detonated his truck at the gate of the Technical college near the Kabal Golf Course in the Swat district of the North West Frontier Province in Pakistan.  Eleven people were injured including eight security personnel.",1,1,1,0,,,0,1,1,3,Bombing/Explosion,,,,,8,"Educational Institution",49,"School/University/Educational Building","Pakistani Technical College",Building,153,Pakistan,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,15,Vehicle,,,,,,,,,,,,,"An explosive-laden pickup truck driven by a suicide bomber was used in the attack.",,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.",""Militants kill nine pro-govt tribesmen"," The Nation"," January 7"
200801240007,2008,1,24,,0,,155,"West Bank and Gaza Strip",10,"Middle East & North Africa","West Bank","Kfar Ezion",31.649395,35.11554,1,0,,"01/24/2008:  Two Palestinians, disguised as Israeli soldiers, infiltrated a school in the West Bank settlement of Kfar Etzion in Israel and stabbed three students.  Both of the perpetrators were shot dead by security guards. None of the victims were killed but did sustain injuries.",1,1,1,0,,,0,0,0,2,"Armed Assault",,,,,8,"Educational Institution",49,"School/University/Educational Building","West Bank settlement of Kfar Etzion",Students,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,2,0,-9,,,,,,,,,-9,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,,,,"“2 Palestinians infiltrate West Bank school, stab students, shot dead,” Associated Press Worldstream, January 24, 2008.","“Xinhua: One Israeli, Two Palestinians Killed in Two Attacks in Jersusalemarea,” Beijing Xinhua in English, January 24, 2008.",
200802040004,2008,2,4,,0,,205,Thailand,5,"Southeast Asia",Pattani,"Ban Kasoh",6.869484,101.250483,4,0,,"02/04/2008:  A bomb was detonated at a pier in Ban Kasoh in southern province Pattani, Thailand, during an opening ceremony for a Muslim school. The attack killed one and injured 11 people, and no groups have claimed responsibility. The district chief Wirat Prasetto of Mayo district was one of the 11 injured.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,"Educational Institution",49,"School/University/Educational Building","Ban Kasoh boarding school","Civilians participating in school's opening ceremony",205,Thailand,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,7,Grenade,,,,,,,,,,,,,,,,"“One killed, 11 injured in Thailand’s restive south,” Xinhua General News Service, Feb 04, 2008.",,
200802050002,2008,2,5,,0,,217,"United States",1,"North America",California,"Los Angeles",34.097866,-118.407379,1,0,,"02/05/2008:  UCLA professor Edythe London’s home was set on fire by suspected activists, causing property damage but resulting in no casualties. The Animal Liberation Fron (ALF) later claimed responsibility for the attack.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,8,"Educational Institution",49,"School/University/Educational Building","UCLA David Geffen School of Medicine","Edythe London residence",217,"United States",,,,,,,,,,,,,,,,,"Animal Liberation Front (ALF)",,,,,,Unknown,1,,,0,,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,"Julia Erlandson, “UCLA researcher’s house targeted again,” University Wire, Feb 06, 2008.","“Fire set at home of UCLA professor,” UPI, Feb 06, 2008.",
200802130002,2008,2,13,,0,,98,Italy,8,"Western Europe",Calabria,"Reggio Calabria",38.114633,15.650234,1,0,,"02/13/2008:  A man took hostage 11 children and a teacher at a daycare center in Reggio Calabria, Italy. Nobody was hurt, and the man was convinced to surrender himself to police several hours after the hostage-taking. The suspect was armed with box cutters.  No group has taken responsibility for the attack, and the motive remains unclear.",0,1,1,1,2,"Other Crime Type",0,1,0,6,"Hostage Taking (Kidnapping)",,,,,8,"Educational Institution",49,"School/University/Educational Building","Italian citizens","Children and a teacher at a daycare center",98,Italy,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,1,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,"The man was armed with a box-cutter",12,,"“Daycare hostage situation ends peacefully,” UPI, February 14, 2008.",,
200802220006,2008,2,22,,0,,205,Thailand,5,"Southeast Asia",Yala,Yala,6.541102,101.280408,3,0,,"02/22/2008:  At approximately 10:00 a.m. local time, a five-kilogram bomb was detonated via remote control at Yala Rajabhat University in Yala, Thailand.  Three civilians were injured.  Although no group has claimed responsibility for this attack, it is believed that same was carried out by local insurgents.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,"Educational Institution",49,"School/University/Educational Building",University,"Yala Rajabhat University",205,Thailand,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,0,0,,,,,,,,,,6,Explosives,12,"Remote Trigger",,,,,,,,,,,,,,,,"“Three wounded by bomb at university in Thai South,” Xinhua General News Service, February 22, 2008.","“Thailand: Article Says Yala, Pattani Blasts Show Shift in Tactics of Insurgents,” Intellectual Deep South Watch, March 16, 2008.",
200803060006,2008,3,6,,0,,97,Israel,10,"Middle East & North Africa",Jerusalem,Jerusalem,31.771599,35.2034,1,0,,"03/06/2008:  A Palestinian terrorist opened fire at Mercaz Harav Yeshiva in Jerusalem, killing eight students and wounding 10 others.  It happened at around 8:45pm.  The gunman fired rounds of ammunition into the library where 80 students gathered in the library to celebrate the Hebrew month of Adar II which begins that Friday.  IDF gunmen killed the gunman four minutes into the spree. Al-Quds Martyrs Brigade and the Martyrs of Imad Mughniyah took separate responsibility for the shooting attack. Hamas fighters claimed the shooting's motive was because of Israel's military operation in the coastal strip in which more than 100 Palestinians were killed.",1,1,1,0,,,0,1,1,2,"Armed Assault",,,,,8,"Educational Institution",49,"School/University/Educational Building","Jewish center","Mercaz Harav Yeshiva's students",97,Israel,,,,,,,,,,,,,,,,,"Palestinian Islamic Jihad (PIJ)","al-Quds Brigades","Al-Aqsa Martyrs Brigade",,,,"To attack Israeli interests and Jewish center.",0,0,,0,1,0,1,2,"Call (post-incident)",1,8,"Personal claim",,,,-9,5,Firearms,2,"Automatic or Semi-Automatic Rifle",5,Firearms,3,Handgun,,,,,,,,,,,"Israel Defense Forces shot the gunman dead.","Tracy Connor, "'LIKE A SLAUGHTERHOUSE' 8 KILLED AS GUNMAN'S BLOODY SHOOTING SPREE LEAVES JERUSALEM SEMINARY LOOKING"," Daily News (New York)"," March 7"
200803110005,2008,3,11,,0,,95,Iraq,10,"Middle East & North Africa",Nineveh,Mosul,36.354145,43.14357,1,0,,"03/11/2008:  Dr. Mowaffaq Yahya, the assistant of Mosul University in Nineveh Province, Iraq, survived an assassination attempt when gunmen with machine gun weapons attacked him in downtown Mosul, Iraq.  No group claimed responsibility for the attack. Dr. Yahya was attacked Tuesday morning.",1,1,1,1,2,"Other Crime Type",0,0,0,1,Assassination,,,,,8,"Educational Institution",48,Teacher/Professor/Instructor,Civilians,"Dr. Mowaffaq Yahya, assistant professor of Mosul University.",95,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,"To assassinate Dr. Mowaffaq Yahya.",0,,,0,,0,0,,,,,,,,,,5,Firearms,2,"Automatic or Semi-Automatic Rifle",,,,,,,,,,,,,,,,"Laith Hammoudi, "Roundup of violence in Iraq"," Knight Ridder Washington Bureau"," March 11"
